"school","department","year","funding"
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2015,801842
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2016,1201562
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2017,73248
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2018,913086
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2019,597732
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2020,992304
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2021,421181
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2017,109637
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2019,471937
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2024,192942
"Academy Of Natural Sciences Philadelphia","Directorate for STEM Education",2018,1199104
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2015,271356
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2017,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2018,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2019,278188
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2020,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2022,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2015,96858
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2016,86143
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2017,53156
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2019,63767
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2020,69213
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2021,76137
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2022,75913
"Alabama A&M University","Directorate for Biological Sciences",2021,534963
"Alabama A&M University","Directorate for Biological Sciences",2022,209383
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2020,483522
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2022,219996
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2023,87186
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2024,1245377
"Alabama A&M University","Directorate for Engineering",2016,26363
"Alabama A&M University","Directorate for Engineering",2017,300000
"Alabama A&M University","Directorate for Engineering",2021,687851
"Alabama A&M University","Directorate for Geosciences",2016,41370
"Alabama A&M University","Directorate for Geosciences",2024,267007
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2015,345280
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2016,69741
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2017,49931
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2018,628558
"Alabama A&M University","Directorate for STEM Education",2015,1179898
"Alabama A&M University","Directorate for STEM Education",2016,1886732
"Alabama A&M University","Directorate for STEM Education",2018,1798909
"Alabama A&M University","Directorate for STEM Education",2021,5400593
"Alabama A&M University","Directorate for STEM Education",2022,452831
"Alabama A&M University","Directorate for STEM Education",2023,2758455
"Alabama A&M University","Directorate for STEM Education",2024,699126
"Alabama A&M University","Directorate for Technology, Innovation, and Partnerships",2024,150000
"Alabama A&M University","Office Of The Director",2020,99512
"Alabama A&M University","Office Of The Director",2024,564561
"Alabama State University","Directorate for Biological Sciences",2016,340042
"Alabama State University","Directorate for Biological Sciences",2019,547128
"Alabama State University","Directorate for Biological Sciences",2020,373985
"Alabama State University","Directorate for Biological Sciences",2024,559999
"Alabama State University","Directorate for Computer and Information Science and Engineering",2024,283089
"Alabama State University","Directorate for Engineering",2015,539894
"Alabama State University","Directorate for Engineering",2018,569748
"Alabama State University","Directorate for Engineering",2021,95340
"Alabama State University","Directorate for Engineering",2022,599429
"Alabama State University","Directorate for Engineering",2023,449973
"Alabama State University","Directorate for Engineering",2024,500000
"Alabama State University","Directorate for Mathematical and Physical Sciences",2016,271535
"Alabama State University","Directorate for STEM Education",2016,1002475
"Alabama State University","Directorate for STEM Education",2017,387256
"Alabama State University","Directorate for STEM Education",2018,398829
"Alabama State University","Directorate for STEM Education",2019,2649950
"Alabama State University","Directorate for STEM Education",2020,389999
"Alabama State University","Directorate for STEM Education",2022,124658
"Alabama State University","Directorate for STEM Education",2023,1702348
"Alabama State University","Directorate for STEM Education",2024,1308193
"Alabama State University","Office Of The Director",2023,150000
"Alabama State University","Office Of The Director",2024,50000
"American Association For The Advancement Of Science","Directorate for Engineering",2016,44922
"American Association For The Advancement Of Science","Directorate for STEM Education",2015,6023747
"American Association For The Advancement Of Science","Directorate for STEM Education",2016,5121402
"American Association For The Advancement Of Science","Directorate for STEM Education",2017,3429781
"American Association For The Advancement Of Science","Directorate for STEM Education",2018,6257485
"American Association For The Advancement Of Science","Directorate for STEM Education",2019,10125738
"American Association For The Advancement Of Science","Directorate for STEM Education",2020,4399592
"American Association For The Advancement Of Science","Directorate for STEM Education",2022,23015475
"American Association For The Advancement Of Science","Directorate for STEM Education",2023,1510230
"American Association For The Advancement Of Science","Directorate for STEM Education",2024,6728906
"American Association For The Advancement Of Science","Directorate for Social, Behavioral and Economic Sciences",2015,229952
"American Association For The Advancement Of Science","Directorate for Social, Behavioral and Economic Sciences",2018,399975
"American Association For The Advancement Of Science","Directorate for Social, Behavioral and Economic Sciences",2022,49923
"American Association For The Advancement Of Science","Office Of The Director",2015,84699
"American Association For The Advancement Of Science","Office Of The Director",2016,13605228
"American Association For The Advancement Of Science","Office Of The Director",2019,11883928
"American Association For The Advancement Of Science","Office Of The Director",2022,15682398
"American Association Of Physics Teachers","Directorate for Mathematical and Physical Sciences",2016,110543
"American Association Of Physics Teachers","Directorate for Mathematical and Physical Sciences",2020,152230
"American Association Of Physics Teachers","Directorate for STEM Education",2015,1319310
"American Association Of Physics Teachers","Directorate for STEM Education",2016,3310286
"American Association Of Physics Teachers","Directorate for STEM Education",2017,882665
"American Association Of Physics Teachers","Directorate for STEM Education",2018,219705
"American Association Of Physics Teachers","Directorate for STEM Education",2019,418295
"American Association Of Physics Teachers","Directorate for STEM Education",2020,121664
"American Association Of Physics Teachers","Directorate for STEM Education",2021,1080278
"American Association Of Physics Teachers","Directorate for STEM Education",2022,2922997
"American Association Of Physics Teachers","Directorate for STEM Education",2023,249966
"American Geophysical Union","Directorate for Biological Sciences",2018,20000
"American Geophysical Union","Directorate for Computer and Information Science and Engineering",2018,50000
"American Geophysical Union","Directorate for Computer and Information Science and Engineering",2020,623694
"American Geophysical Union","Directorate for Computer and Information Science and Engineering",2024,49041
"American Geophysical Union","Directorate for Geosciences",2015,50000
"American Geophysical Union","Directorate for Geosciences",2016,78250
"American Geophysical Union","Directorate for Geosciences",2017,30000
"American Geophysical Union","Directorate for Geosciences",2018,70000
"American Geophysical Union","Directorate for Geosciences",2019,599899
"American Geophysical Union","Directorate for Geosciences",2020,539992
"American Geophysical Union","Directorate for Geosciences",2021,1285098
"American Geophysical Union","Directorate for Geosciences",2022,448656
"American Geophysical Union","Directorate for Geosciences",2023,170871
"American Geophysical Union","Directorate for Social, Behavioral and Economic Sciences",2022,21624
"American Geophysical Union","Directorate for Technology, Innovation, and Partnerships",2022,99992
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2017,15000
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2018,10000
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2019,128230
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2020,64780
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2021,73236
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2022,104795
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2023,231835
"American Institute Of Chemical Engineers","Directorate for Biological Sciences",2024,219535
"American Institute Of Chemical Engineers","Directorate for Engineering",2015,160929
"American Institute Of Chemical Engineers","Directorate for Engineering",2016,86000
"American Institute Of Chemical Engineers","Directorate for Engineering",2017,134197
"American Institute Of Chemical Engineers","Directorate for Engineering",2018,20385
"American Institute Of Chemical Engineers","Directorate for Engineering",2019,142215
"American Institute Of Chemical Engineers","Directorate for Engineering",2020,25955
"American Institute Of Chemical Engineers","Directorate for Engineering",2021,112752
"American Institute Of Chemical Engineers","Directorate for Engineering",2022,29805
"American Institute Of Chemical Engineers","Directorate for Engineering",2023,15000
"American Institute Of Chemical Engineers","Directorate for Engineering",2024,111420
"American Institute Of Chemical Engineers","Directorate for Mathematical and Physical Sciences",2018,14922
"American Institute Of Chemical Engineers","Directorate for Mathematical and Physical Sciences",2023,29825
"American Institute Of Chemical Engineers","Directorate for Technology, Innovation, and Partnerships",2016,27448
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2015,101980
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2016,231702
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2017,8485764
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2019,1274288
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2020,16803220
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2021,49996
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2023,82680
"American Institute Of Mathematics","Directorate for Mathematical and Physical Sciences",2024,49975
"American Institute Of Mathematics","Directorate for STEM Education",2015,248724
"American Institute Of Mathematics","Directorate for STEM Education",2016,399258
"American Institute Of Mathematics","Directorate for STEM Education",2018,1113928
"American Institute Of Mathematics","Directorate for STEM Education",2019,99273
"American Institute Of Mathematics","Directorate for STEM Education",2023,703950
"American Institutes For Research In The Behavioral Sciences","Directorate for Computer and Information Science and Engineering",2017,500725
"American Institutes For Research In The Behavioral Sciences","Directorate for Computer and Information Science and Engineering",2018,2514307
"American Institutes For Research In The Behavioral Sciences","Directorate for Computer and Information Science and Engineering",2019,350000
"American Institutes For Research In The Behavioral Sciences","Directorate for Computer and Information Science and Engineering",2022,599746
"American Institutes For Research In The Behavioral Sciences","Directorate for Computer and Information Science and Engineering",2024,997575
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2015,1038016
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2017,1252933
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2018,739452
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2019,1801496
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2020,3588656
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2021,2612788
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2022,7655636
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2023,3169088
"American Institutes For Research In The Behavioral Sciences","Directorate for STEM Education",2024,2393554
"American Institutes For Research In The Behavioral Sciences","Directorate for Social, Behavioral and Economic Sciences",2016,123619
"American Institutes For Research In The Behavioral Sciences","Directorate for Social, Behavioral and Economic Sciences",2023,158053
"American Institutes For Research In The Behavioral Sciences","Office Of The Director",2017,299979
"American Museum Natural History","Directorate for Biological Sciences",2015,1853415
"American Museum Natural History","Directorate for Biological Sciences",2016,285694
"American Museum Natural History","Directorate for Biological Sciences",2017,1484381
"American Museum Natural History","Directorate for Biological Sciences",2018,1013821
"American Museum Natural History","Directorate for Biological Sciences",2019,1498231
"American Museum Natural History","Directorate for Biological Sciences",2020,2729770
"American Museum Natural History","Directorate for Biological Sciences",2021,540146
"American Museum Natural History","Directorate for Biological Sciences",2022,1065656
"American Museum Natural History","Directorate for Biological Sciences",2023,679192
"American Museum Natural History","Directorate for Biological Sciences",2024,1450746
"American Museum Natural History","Directorate for Computer and Information Science and Engineering",2018,499722
"American Museum Natural History","Directorate for Computer and Information Science and Engineering",2019,399258
"American Museum Natural History","Directorate for Computer and Information Science and Engineering",2022,771654
"American Museum Natural History","Directorate for Computer and Information Science and Engineering",2024,635319
"American Museum Natural History","Directorate for Geosciences",2015,197350
"American Museum Natural History","Directorate for Geosciences",2017,11515
"American Museum Natural History","Directorate for Geosciences",2018,1249497
"American Museum Natural History","Directorate for Geosciences",2019,907505
"American Museum Natural History","Directorate for Geosciences",2020,182636
"American Museum Natural History","Directorate for Geosciences",2021,468246
"American Museum Natural History","Directorate for Geosciences",2023,2139618
"American Museum Natural History","Directorate for Geosciences",2024,1906421
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2018,622272
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2019,405923
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2020,343385
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2021,675921
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2022,374431
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2023,546269
"American Museum Natural History","Directorate for Mathematical and Physical Sciences",2024,118374
"American Museum Natural History","Directorate for STEM Education",2016,1476474
"American Museum Natural History","Directorate for STEM Education",2017,86457
"American Museum Natural History","Directorate for STEM Education",2019,5730740
"American Museum Natural History","Directorate for STEM Education",2020,1199912
"American Museum Natural History","Directorate for STEM Education",2021,3568187
"American Museum Natural History","Directorate for STEM Education",2024,416531
"American Museum Natural History","Directorate for Social, Behavioral and Economic Sciences",2018,19432
"American Museum Natural History","Directorate for Social, Behavioral and Economic Sciences",2019,114899
"American Museum Natural History","Directorate for Social, Behavioral and Economic Sciences",2024,130914
"American Museum Natural History","Office Of The Director",2020,207824
"American Museum Natural History","Office Of The Director",2022,17103
"American Physical Society","Directorate for Engineering",2015,25000
"American Physical Society","Directorate for Engineering",2016,25000
"American Physical Society","Directorate for Engineering",2017,75000
"American Physical Society","Directorate for Engineering",2019,30000
"American Physical Society","Directorate for Engineering",2022,30000
"American Physical Society","Directorate for Engineering",2024,79970
"American Physical Society","Directorate for Mathematical and Physical Sciences",2015,33820
"American Physical Society","Directorate for Mathematical and Physical Sciences",2016,912619
"American Physical Society","Directorate for Mathematical and Physical Sciences",2017,3114937
"American Physical Society","Directorate for Mathematical and Physical Sciences",2019,288000
"American Physical Society","Directorate for Mathematical and Physical Sciences",2020,544849
"American Physical Society","Directorate for Mathematical and Physical Sciences",2023,3092861
"American Physical Society","Directorate for Mathematical and Physical Sciences",2024,99373
"American Physical Society","Directorate for STEM Education",2016,837253
"American Physical Society","Directorate for STEM Education",2017,45259
"American Physical Society","Directorate for STEM Education",2018,9051977
"American Physical Society","Directorate for STEM Education",2021,784027
"American Physical Society","Directorate for STEM Education",2023,925207
"American Society For Engineering Education","Directorate for Computer and Information Science and Engineering",2019,350001
"American Society For Engineering Education","Directorate for Computer and Information Science and Engineering",2020,450504
"American Society For Engineering Education","Directorate for Computer and Information Science and Engineering",2021,375017
"American Society For Engineering Education","Directorate for Computer and Information Science and Engineering",2022,347258
"American Society For Engineering Education","Directorate for Computer and Information Science and Engineering",2023,649777
"American Society For Engineering Education","Directorate for Engineering",2015,534729
"American Society For Engineering Education","Directorate for Engineering",2016,695022
"American Society For Engineering Education","Directorate for Engineering",2017,4078379
"American Society For Engineering Education","Directorate for Engineering",2018,291558
"American Society For Engineering Education","Directorate for Engineering",2020,24474120
"American Society For Engineering Education","Directorate for Engineering",2021,940204
"American Society For Engineering Education","Directorate for Engineering",2022,1829587
"American Society For Engineering Education","Directorate for Engineering",2023,2838980
"American Society For Engineering Education","Directorate for Geosciences",2015,278071
"American Society For Engineering Education","Directorate for STEM Education",2015,1074816
"American Society For Engineering Education","Directorate for STEM Education",2018,1123258
"American Society For Engineering Education","Directorate for STEM Education",2019,790339
"American Society For Engineering Education","Directorate for STEM Education",2020,149992
"American Society For Engineering Education","Directorate for STEM Education",2022,1072375
"American Society For Engineering Education","Directorate for STEM Education",2024,399999
"American Society For Engineering Education","Directorate for Technology, Innovation, and Partnerships",2015,9410028
"American Society For Engineering Education","Directorate for Technology, Innovation, and Partnerships",2018,13353783
"American Society For Engineering Education","Office Of The Director",2019,162672
"American University","Directorate for Biological Sciences",2020,1736774
"American University","Directorate for Biological Sciences",2021,188694
"American University","Directorate for Computer and Information Science and Engineering",2018,689575
"American University","Directorate for Computer and Information Science and Engineering",2019,174951
"American University","Directorate for Computer and Information Science and Engineering",2020,92654
"American University","Directorate for Computer and Information Science and Engineering",2021,1000000
"American University","Directorate for Engineering",2020,108129
"American University","Directorate for Engineering",2021,15000000
"American University","Directorate for Geosciences",2022,480459
"American University","Directorate for Mathematical and Physical Sciences",2015,157375
"American University","Directorate for Mathematical and Physical Sciences",2016,536311
"American University","Directorate for Mathematical and Physical Sciences",2017,292407
"American University","Directorate for Mathematical and Physical Sciences",2018,25655
"American University","Directorate for Mathematical and Physical Sciences",2020,739918
"American University","Directorate for Mathematical and Physical Sciences",2021,114164
"American University","Directorate for Mathematical and Physical Sciences",2023,276267
"American University","Directorate for Mathematical and Physical Sciences",2024,139844
"American University","Directorate for STEM Education",2016,131500
"American University","Directorate for STEM Education",2019,299895
"American University","Directorate for STEM Education",2020,661959
"American University","Directorate for STEM Education",2021,1100000
"American University","Directorate for STEM Education",2022,2056052
"American University","Directorate for STEM Education",2023,1387686
"American University","Directorate for STEM Education",2024,73362
"American University","Directorate for Social, Behavioral and Economic Sciences",2015,230783
"American University","Directorate for Social, Behavioral and Economic Sciences",2016,35000
"American University","Directorate for Social, Behavioral and Economic Sciences",2017,163324
"American University","Directorate for Social, Behavioral and Economic Sciences",2018,361201
"American University","Directorate for Social, Behavioral and Economic Sciences",2019,748797
"American University","Directorate for Social, Behavioral and Economic Sciences",2020,1181575
"American University","Directorate for Social, Behavioral and Economic Sciences",2021,355066
"American University","Directorate for Social, Behavioral and Economic Sciences",2022,577409
"American University","Directorate for Social, Behavioral and Economic Sciences",2023,255918
"American University","Directorate for Social, Behavioral and Economic Sciences",2024,303440
"American University","Directorate for Technology, Innovation, and Partnerships",2016,50000
"American University","Directorate for Technology, Innovation, and Partnerships",2017,355703
"American University","Directorate for Technology, Innovation, and Partnerships",2018,50000
"American University","Directorate for Technology, Innovation, and Partnerships",2023,6020483
"Amherst College","Directorate for Biological Sciences",2015,77025
"Amherst College","Directorate for Biological Sciences",2017,513187
"Amherst College","Directorate for Biological Sciences",2018,462395
"Amherst College","Directorate for Biological Sciences",2021,735648
"Amherst College","Directorate for Biological Sciences",2022,223873
"Amherst College","Directorate for Computer and Information Science and Engineering",2018,25000
"Amherst College","Directorate for Computer and Information Science and Engineering",2019,174588
"Amherst College","Directorate for Computer and Information Science and Engineering",2020,373381
"Amherst College","Directorate for Computer and Information Science and Engineering",2021,500000
"Amherst College","Directorate for Computer and Information Science and Engineering",2023,483202
"Amherst College","Directorate for Geosciences",2020,390201
"Amherst College","Directorate for Geosciences",2021,246360
"Amherst College","Directorate for Geosciences",2022,108172
"Amherst College","Directorate for Geosciences",2023,157986
"Amherst College","Directorate for Mathematical and Physical Sciences",2015,1402381
"Amherst College","Directorate for Mathematical and Physical Sciences",2016,524265
"Amherst College","Directorate for Mathematical and Physical Sciences",2017,831984
"Amherst College","Directorate for Mathematical and Physical Sciences",2018,1462951
"Amherst College","Directorate for Mathematical and Physical Sciences",2019,590907
"Amherst College","Directorate for Mathematical and Physical Sciences",2020,349968
"Amherst College","Directorate for Mathematical and Physical Sciences",2021,813192
"Amherst College","Directorate for Mathematical and Physical Sciences",2022,2541182
"Amherst College","Directorate for Mathematical and Physical Sciences",2023,447281
"Amherst College","Directorate for Mathematical and Physical Sciences",2024,464358
"Amherst College","Directorate for STEM Education",2019,48829
"Amherst College","Directorate for STEM Education",2020,299965
"Amherst College","Directorate for Social, Behavioral and Economic Sciences",2018,350764
"Appalachian State University","Directorate for Biological Sciences",2015,18000
"Appalachian State University","Directorate for Biological Sciences",2016,430900
"Appalachian State University","Directorate for Biological Sciences",2017,51401
"Appalachian State University","Directorate for Biological Sciences",2021,264868
"Appalachian State University","Directorate for Biological Sciences",2022,995894
"Appalachian State University","Directorate for Biological Sciences",2024,649693
"Appalachian State University","Directorate for Computer and Information Science and Engineering",2017,463504
"Appalachian State University","Directorate for Computer and Information Science and Engineering",2019,985741
"Appalachian State University","Directorate for Computer and Information Science and Engineering",2022,613086
"Appalachian State University","Directorate for Geosciences",2015,488709
"Appalachian State University","Directorate for Geosciences",2016,660701
"Appalachian State University","Directorate for Geosciences",2017,199440
"Appalachian State University","Directorate for Geosciences",2018,524388
"Appalachian State University","Directorate for Geosciences",2019,869437
"Appalachian State University","Directorate for Geosciences",2020,56458
"Appalachian State University","Directorate for Geosciences",2021,755693
"Appalachian State University","Directorate for Geosciences",2022,473741
"Appalachian State University","Directorate for Geosciences",2023,1335020
"Appalachian State University","Directorate for Geosciences",2024,148187
"Appalachian State University","Directorate for Mathematical and Physical Sciences",2020,40110
"Appalachian State University","Directorate for Mathematical and Physical Sciences",2022,249840
"Appalachian State University","Directorate for Mathematical and Physical Sciences",2023,207997
"Appalachian State University","Directorate for Mathematical and Physical Sciences",2024,673871
"Appalachian State University","Directorate for STEM Education",2015,1363026
"Appalachian State University","Directorate for STEM Education",2017,999982
"Appalachian State University","Directorate for STEM Education",2020,995509
"Appalachian State University","Directorate for STEM Education",2021,224205
"Appalachian State University","Directorate for STEM Education",2022,993814
"Appalachian State University","Directorate for STEM Education",2024,1999917
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2015,96349
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2017,399038
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2018,241255
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2019,26400
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2020,881356
"Appalachian State University","Directorate for Social, Behavioral and Economic Sciences",2024,525764
"Arizona State University","Directorate for Biological Sciences",2015,6286600
"Arizona State University","Directorate for Biological Sciences",2016,10342221
"Arizona State University","Directorate for Biological Sciences",2017,3221314
"Arizona State University","Directorate for Biological Sciences",2018,8092711
"Arizona State University","Directorate for Biological Sciences",2019,17957420
"Arizona State University","Directorate for Biological Sciences",2020,6838971
"Arizona State University","Directorate for Biological Sciences",2021,16735712
"Arizona State University","Directorate for Biological Sciences",2022,68610353
"Arizona State University","Directorate for Biological Sciences",2023,9578017
"Arizona State University","Directorate for Biological Sciences",2024,1060486
"Arizona State University","Directorate for Computer and Information Science and Engineering",2015,6755084
"Arizona State University","Directorate for Computer and Information Science and Engineering",2016,15877333
"Arizona State University","Directorate for Computer and Information Science and Engineering",2017,5987089
"Arizona State University","Directorate for Computer and Information Science and Engineering",2018,9123036
"Arizona State University","Directorate for Computer and Information Science and Engineering",2019,12624773
"Arizona State University","Directorate for Computer and Information Science and Engineering",2020,9478533
"Arizona State University","Directorate for Computer and Information Science and Engineering",2021,12267232
"Arizona State University","Directorate for Computer and Information Science and Engineering",2022,18854497
"Arizona State University","Directorate for Computer and Information Science and Engineering",2023,12854349
"Arizona State University","Directorate for Computer and Information Science and Engineering",2024,12021402
"Arizona State University","Directorate for Engineering",2015,60570689
"Arizona State University","Directorate for Engineering",2016,7390776
"Arizona State University","Directorate for Engineering",2017,6078869
"Arizona State University","Directorate for Engineering",2018,11599319
"Arizona State University","Directorate for Engineering",2019,12079826
"Arizona State University","Directorate for Engineering",2020,16350613
"Arizona State University","Directorate for Engineering",2021,10526324
"Arizona State University","Directorate for Engineering",2022,14423269
"Arizona State University","Directorate for Engineering",2023,11152668
"Arizona State University","Directorate for Engineering",2024,14568307
"Arizona State University","Directorate for Geosciences",2015,1217059
"Arizona State University","Directorate for Geosciences",2016,3702395
"Arizona State University","Directorate for Geosciences",2017,4844654
"Arizona State University","Directorate for Geosciences",2018,4680665
"Arizona State University","Directorate for Geosciences",2019,7043235
"Arizona State University","Directorate for Geosciences",2020,3606690
"Arizona State University","Directorate for Geosciences",2021,15706565
"Arizona State University","Directorate for Geosciences",2022,6140457
"Arizona State University","Directorate for Geosciences",2023,4187835
"Arizona State University","Directorate for Geosciences",2024,5044299
"Arizona State University","Directorate for Mathematical and Physical Sciences",2015,6629977
"Arizona State University","Directorate for Mathematical and Physical Sciences",2016,5680715
"Arizona State University","Directorate for Mathematical and Physical Sciences",2017,6001161
"Arizona State University","Directorate for Mathematical and Physical Sciences",2018,4166212
"Arizona State University","Directorate for Mathematical and Physical Sciences",2019,6424374
"Arizona State University","Directorate for Mathematical and Physical Sciences",2020,6012172
"Arizona State University","Directorate for Mathematical and Physical Sciences",2021,8810962
"Arizona State University","Directorate for Mathematical and Physical Sciences",2022,12885517
"Arizona State University","Directorate for Mathematical and Physical Sciences",2023,5446026
"Arizona State University","Directorate for Mathematical and Physical Sciences",2024,5372451
"Arizona State University","Directorate for STEM Education",2015,7997726
"Arizona State University","Directorate for STEM Education",2016,16580311
"Arizona State University","Directorate for STEM Education",2017,11439008
"Arizona State University","Directorate for STEM Education",2018,18444133
"Arizona State University","Directorate for STEM Education",2019,2000911
"Arizona State University","Directorate for STEM Education",2020,5960589
"Arizona State University","Directorate for STEM Education",2021,15040490
"Arizona State University","Directorate for STEM Education",2022,19431286
"Arizona State University","Directorate for STEM Education",2023,7905929
"Arizona State University","Directorate for STEM Education",2024,9843833
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2015,7960081
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2016,4352980
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2017,4899730
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2018,2614466
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2019,3121327
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2020,6837490
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2021,4543182
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2022,3109336
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2023,2726059
"Arizona State University","Directorate for Social, Behavioral and Economic Sciences",2024,4541269
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2015,546624
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2016,150000
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2017,658547
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2018,148570
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2019,1048588
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2020,399993
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2021,1041768
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2022,15466000
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2023,19513106
"Arizona State University","Directorate for Technology, Innovation, and Partnerships",2024,5134613
"Arizona State University","Office Of The Director",2015,248212
"Arizona State University","Office Of The Director",2016,249705
"Arizona State University","Office Of The Director",2018,1599979
"Arizona State University","Office Of The Director",2019,1056646
"Arizona State University","Office Of The Director",2020,2431874
"Arizona State University","Office Of The Director",2021,592309
"Arizona State University","Office Of The Director",2022,122489
"Arizona State University","Office Of The Director",2023,9199765
"Arizona State University","Office Of The Director",2024,535414
"Arkansas State University Main Campus","Directorate for Biological Sciences",2016,478094
"Arkansas State University Main Campus","Directorate for Biological Sciences",2017,49622
"Arkansas State University Main Campus","Directorate for Biological Sciences",2018,49969
"Arkansas State University Main Campus","Directorate for Biological Sciences",2020,46586
"Arkansas State University Main Campus","Directorate for Biological Sciences",2023,949058
"Arkansas State University Main Campus","Directorate for Computer and Information Science and Engineering",2015,115280
"Arkansas State University Main Campus","Directorate for Computer and Information Science and Engineering",2017,257785
"Arkansas State University Main Campus","Directorate for Computer and Information Science and Engineering",2021,25822
"Arkansas State University Main Campus","Directorate for Computer and Information Science and Engineering",2024,99906
"Arkansas State University Main Campus","Directorate for Engineering",2016,443154
"Arkansas State University Main Campus","Directorate for Engineering",2022,586231
