"institution","rank","agency","dollars"
"All institutions",NA,"all federal r d expenditures",59603993000
"All institutions",NA,"dod",9047729000
"All institutions",NA,"doe",2671326000
"All institutions",NA,"hhs",33097927000
"All institutions",NA,"nasa",2295593000
"All institutions",NA,"nsf",6699546000
"All institutions",NA,"usda",1700216000
"All institutions",NA,"othera",4091656000
"Johns Hopkins U",1,"all federal r d expenditures",3324551000
"Johns Hopkins U",1,"dod",1628821000
"Johns Hopkins U",1,"doe",11671000
"Johns Hopkins U",1,"hhs",919852000
"Johns Hopkins U",1,"nasa",515047000
"Johns Hopkins U",1,"nsf",40834000
"Johns Hopkins U",1,"usda",3553000
"Johns Hopkins U",1,"othera",204773000
"U. Washington, Seattle",2,"all federal r d expenditures",1188836000
"U. Washington, Seattle",2,"dod",126010000
"U. Washington, Seattle",2,"doe",41413000
"U. Washington, Seattle",2,"hhs",770184000
"U. Washington, Seattle",2,"nasa",22518000
"U. Washington, Seattle",2,"nsf",142970000
"U. Washington, Seattle",2,"usda",7610000
"U. Washington, Seattle",2,"othera",78131000
"Georgia Institute of Technology",3,"all federal r d expenditures",1083903000
"Georgia Institute of Technology",3,"dod",811759000
"Georgia Institute of Technology",3,"doe",26089000
"Georgia Institute of Technology",3,"hhs",52938000
"Georgia Institute of Technology",3,"nasa",17355000
"Georgia Institute of Technology",3,"nsf",79048000
"Georgia Institute of Technology",3,"usda",1124000
"Georgia Institute of Technology",3,"othera",95590000
"U. California, San Diego",4,"all federal r d expenditures",1083790000
"U. California, San Diego",4,"dod",126228000
"U. California, San Diego",4,"doe",38680000
"U. California, San Diego",4,"hhs",688073000
"U. California, San Diego",4,"nasa",16704000
"U. California, San Diego",4,"nsf",163266000
"U. California, San Diego",4,"usda",3062000
"U. California, San Diego",4,"othera",47777000
"U. Michigan, Ann Arbor",5,"all federal r d expenditures",1041430000
"U. Michigan, Ann Arbor",5,"dod",79110000
"U. Michigan, Ann Arbor",5,"doe",48259000
"U. Michigan, Ann Arbor",5,"hhs",728763000
"U. Michigan, Ann Arbor",5,"nasa",31693000
"U. Michigan, Ann Arbor",5,"nsf",109808000
"U. Michigan, Ann Arbor",5,"usda",1578000
"U. Michigan, Ann Arbor",5,"othera",42219000
"Columbia U. in the City of New York",6,"all federal r d expenditures",988670000
"Columbia U. in the City of New York",6,"dod",58296000
"Columbia U. in the City of New York",6,"doe",25171000
"Columbia U. in the City of New York",6,"hhs",766707000
"Columbia U. in the City of New York",6,"nasa",24482000
"Columbia U. in the City of New York",6,"nsf",105818000
"Columbia U. in the City of New York",6,"usda",502000
"Columbia U. in the City of New York",6,"othera",7694000
"Duke U.",7,"all federal r d expenditures",974202000
"Duke U.",7,"dod",61598000
"Duke U.",7,"doe",18482000
"Duke U.",7,"hhs",833339000
"Duke U.",7,"nasa",2223000
"Duke U.",7,"nsf",45599000
"Duke U.",7,"usda",998000
"Duke U.",7,"othera",11963000
"Stanford U.",8,"all federal r d expenditures",943669000
"Stanford U.",8,"dod",87775000
"Stanford U.",8,"doe",31180000
"Stanford U.",8,"hhs",712159000
"Stanford U.",8,"nasa",22178000
"Stanford U.",8,"nsf",79757000
"Stanford U.",8,"usda",1014000
"Stanford U.",8,"othera",9606000
"U. Pennsylvania",9,"all federal r d expenditures",936469000
"U. Pennsylvania",9,"dod",53246000
"U. Pennsylvania",9,"doe",15424000
"U. Pennsylvania",9,"hhs",784145000
"U. Pennsylvania",9,"nasa",2941000
"U. Pennsylvania",9,"nsf",59837000
"U. Pennsylvania",9,"usda",1818000
"U. Pennsylvania",9,"othera",19058000
"U. Pittsburgh, Pittsburgh",10,"all federal r d expenditures",916735000
"U. Pittsburgh, Pittsburgh",10,"dod",70896000
"U. Pittsburgh, Pittsburgh",10,"doe",13238000
"U. Pittsburgh, Pittsburgh",10,"hhs",777420000
"U. Pittsburgh, Pittsburgh",10,"nasa",3546000
"U. Pittsburgh, Pittsburgh",10,"nsf",38493000
"U. Pittsburgh, Pittsburgh",10,"usda",518000
"U. Pittsburgh, Pittsburgh",10,"othera",12624000
"U. North Carolina, Chapel Hill",11,"all federal r d expenditures",907710000
"U. North Carolina, Chapel Hill",11,"dod",26942000
"U. North Carolina, Chapel Hill",11,"doe",10693000
"U. North Carolina, Chapel Hill",11,"hhs",729970000
"U. North Carolina, Chapel Hill",11,"nasa",1887000
"U. North Carolina, Chapel Hill",11,"nsf",48106000
"U. North Carolina, Chapel Hill",11,"usda",2554000
"U. North Carolina, Chapel Hill",11,"othera",87558000
"U. California, Los Angeles",12,"all federal r d expenditures",878571000
"U. California, Los Angeles",12,"dod",53640000
"U. California, Los Angeles",12,"doe",45265000
"U. California, Los Angeles",12,"hhs",652981000
"U. California, Los Angeles",12,"nasa",30978000
"U. California, Los Angeles",12,"nsf",74397000
"U. California, Los Angeles",12,"usda",1055000
"U. California, Los Angeles",12,"othera",20255000
"U. California, San Francisco",13,"all federal r d expenditures",858066000
"U. California, San Francisco",13,"dod",41031000
"U. California, San Francisco",13,"doe",1296000
"U. California, San Francisco",13,"hhs",795553000
"U. California, San Francisco",13,"nasa",606000
"U. California, San Francisco",13,"nsf",10746000
"U. California, San Francisco",13,"usda",370000
"U. California, San Francisco",13,"othera",8464000
"U. Marylandc",14,"all federal r d expenditures",825546000
"U. Marylandc",14,"dod",146036000
"U. Marylandc",14,"doe",26542000
"U. Marylandc",14,"hhs",382208000
"U. Marylandc",14,"nasa",83337000
"U. Marylandc",14,"nsf",66780000
"U. Marylandc",14,"usda",30601000
"U. Marylandc",14,"othera",90042000
"U. Wisconsin-Madison",15,"all federal r d expenditures",816814000
"U. Wisconsin-Madison",15,"dod",44782000
"U. Wisconsin-Madison",15,"doe",90201000
"U. Wisconsin-Madison",15,"hhs",465199000
"U. Wisconsin-Madison",15,"nasa",16235000
"U. Wisconsin-Madison",15,"nsf",113712000
"U. Wisconsin-Madison",15,"usda",36525000
"U. Wisconsin-Madison",15,"othera",50160000
"New York U.",16,"all federal r d expenditures",787204000
"New York U.",16,"dod",21849000
"New York U.",16,"doe",4386000
"New York U.",16,"hhs",696483000
"New York U.",16,"nasa",1829000
"New York U.",16,"nsf",43877000
"New York U.",16,"usda",523000
"New York U.",16,"othera",18257000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"all federal r d expenditures",781303000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"dod",343365000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"doe",44141000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"hhs",186358000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"nasa",20924000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"nsf",84781000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"usda",34662000
"Pennsylvania State U., University Park and Hershey Medical Center",17,"othera",67072000
"Washington U., Saint Louis",18,"all federal r d expenditures",758464000
"Washington U., Saint Louis",18,"dod",25612000
"Washington U., Saint Louis",18,"doe",8503000
"Washington U., Saint Louis",18,"hhs",689724000
"Washington U., Saint Louis",18,"nasa",10851000
"Washington U., Saint Louis",18,"nsf",21715000
"Washington U., Saint Louis",18,"usda",431000
"Washington U., Saint Louis",18,"othera",1628000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"all federal r d expenditures",751019000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"dod",35148000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"doe",11932000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"hhs",647384000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"nasa",3815000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"nsf",29839000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"usda",795000
"Vanderbilt U. and Vanderbilt U. Medical Center",19,"othera",22106000
"Yale U.",20,"all federal r d expenditures",741198000
"Yale U.",20,"dod",37473000
"Yale U.",20,"doe",10539000
"Yale U.",20,"hhs",639636000
"Yale U.",20,"nasa",2624000
"Yale U.",20,"nsf",39036000
"Yale U.",20,"usda",1146000
"Yale U.",20,"othera",10744000
"Cornell U.",21,"all federal r d expenditures",705132000
"Cornell U.",21,"dod",50537000
"Cornell U.",21,"doe",31129000
"Cornell U.",21,"hhs",423066000
"Cornell U.",21,"nasa",11790000
"Cornell U.",21,"nsf",125089000
"Cornell U.",21,"usda",44545000
"Cornell U.",21,"othera",18976000
"U. Minnesota, Twin Cities",22,"all federal r d expenditures",702483000
"U. Minnesota, Twin Cities",22,"dod",39589000
"U. Minnesota, Twin Cities",22,"doe",28058000
"U. Minnesota, Twin Cities",22,"hhs",479309000
"U. Minnesota, Twin Cities",22,"nasa",9283000
"U. Minnesota, Twin Cities",22,"nsf",81018000
"U. Minnesota, Twin Cities",22,"usda",47660000
"U. Minnesota, Twin Cities",22,"othera",17566000
"Ohio State U.",23,"all federal r d expenditures",694647000
"Ohio State U.",23,"dod",57248000
"Ohio State U.",23,"doe",32099000
"Ohio State U.",23,"hhs",428792000
"Ohio State U.",23,"nasa",8020000
"Ohio State U.",23,"nsf",68295000
"Ohio State U.",23,"usda",34371000
"Ohio State U.",23,"othera",65822000
"U. Southern California",24,"all federal r d expenditures",683819000
"U. Southern California",24,"dod",132806000
"U. Southern California",24,"doe",10477000
"U. Southern California",24,"hhs",456503000
"U. Southern California",24,"nasa",3560000
"U. Southern California",24,"nsf",58556000
"U. Southern California",24,"usda",93000
"U. Southern California",24,"othera",21824000
"Northwestern U.",25,"all federal r d expenditures",678062000
"Northwestern U.",25,"dod",51407000
"Northwestern U.",25,"doe",33607000
"Northwestern U.",25,"hhs",521988000
"Northwestern U.",25,"nasa",4253000
"Northwestern U.",25,"nsf",56367000
"Northwestern U.",25,"usda",318000
"Northwestern U.",25,"othera",10122000
"Emory U.",26,"all federal r d expenditures",664370000
"Emory U.",26,"dod",11443000
"Emory U.",26,"doe",2346000
"Emory U.",26,"hhs",630229000
"Emory U.",26,"nasa",937000
"Emory U.",26,"nsf",12370000
"Emory U.",26,"usda",466000
"Emory U.",26,"othera",6579000
"Icahn School of Medicine at Mount Sinai",27,"all federal r d expenditures",658916000
"Icahn School of Medicine at Mount Sinai",27,"dod",25359000
"Icahn School of Medicine at Mount Sinai",27,"doe",66000
"Icahn School of Medicine at Mount Sinai",27,"hhs",629952000
"Icahn School of Medicine at Mount Sinai",27,"nasa",460000
"Icahn School of Medicine at Mount Sinai",27,"nsf",1230000
"Icahn School of Medicine at Mount Sinai",27,"usda",96000
"Icahn School of Medicine at Mount Sinai",27,"othera",1753000
"Harvard U.",28,"all federal r d expenditures",639953000
"Harvard U.",28,"dod",49624000
"Harvard U.",28,"doe",20120000
"Harvard U.",28,"hhs",490149000
"Harvard U.",28,"nasa",7992000
"Harvard U.",28,"nsf",54965000
"Harvard U.",28,"usda",385000
"Harvard U.",28,"othera",16718000
"U. Texas, Austin",29,"all federal r d expenditures",621223000
"U. Texas, Austin",29,"dod",252267000
"U. Texas, Austin",29,"doe",59115000
"U. Texas, Austin",29,"hhs",128822000
"U. Texas, Austin",29,"nasa",26172000
"U. Texas, Austin",29,"nsf",122660000
"U. Texas, Austin",29,"usda",428000
"U. Texas, Austin",29,"othera",31759000
"Massachusetts Institute of Technology",30,"all federal r d expenditures",559766000
"Massachusetts Institute of Technology",30,"dod",130434000
"Massachusetts Institute of Technology",30,"doe",89574000
"Massachusetts Institute of Technology",30,"hhs",163137000
"Massachusetts Institute of Technology",30,"nasa",38045000
"Massachusetts Institute of Technology",30,"nsf",117488000
"Massachusetts Institute of Technology",30,"usda",0
"Massachusetts Institute of Technology",30,"othera",21088000
"Texas A&M U., College Station and Health Science Center",31,"all federal r d expenditures",546481000
"Texas A&M U., College Station and Health Science Center",31,"dod",88719000
"Texas A&M U., College Station and Health Science Center",31,"doe",47421000
"Texas A&M U., College Station and Health Science Center",31,"hhs",123004000
"Texas A&M U., College Station and Health Science Center",31,"nasa",10485000
"Texas A&M U., College Station and Health Science Center",31,"nsf",142660000
"Texas A&M U., College Station and Health Science Center",31,"usda",52842000
"Texas A&M U., College Station and Health Science Center",31,"othera",81350000
"U. Colorado Boulder",32,"all federal r d expenditures",538715000
"U. Colorado Boulder",32,"dod",41391000
"U. Colorado Boulder",32,"doe",34983000
"U. Colorado Boulder",32,"hhs",70737000
"U. Colorado Boulder",32,"nasa",166802000
"U. Colorado Boulder",32,"nsf",119866000
"U. Colorado Boulder",32,"usda",1640000
"U. Colorado Boulder",32,"othera",103296000
"U. Florida",33,"all federal r d expenditures",529391000
"U. Florida",33,"dod",49481000
"U. Florida",33,"doe",15711000
"U. Florida",33,"hhs",304254000
"U. Florida",33,"nasa",14102000
"U. Florida",33,"nsf",60602000
"U. Florida",33,"usda",50082000
"U. Florida",33,"othera",35159000
"U. California, Berkeley",34,"all federal r d expenditures",496298000
"U. California, Berkeley",34,"dod",44502000
"U. California, Berkeley",34,"doe",51123000
"U. California, Berkeley",34,"hhs",164520000
"U. California, Berkeley",34,"nasa",100825000
"U. California, Berkeley",34,"nsf",101951000
"U. California, Berkeley",34,"usda",3722000
"U. California, Berkeley",34,"othera",29655000
"U. California, Davis",35,"all federal r d expenditures",494847000
"U. California, Davis",35,"dod",24576000
"U. California, Davis",35,"doe",21400000
"U. California, Davis",35,"hhs",303877000
"U. California, Davis",35,"nasa",8390000
"U. California, Davis",35,"nsf",46849000
"U. California, Davis",35,"usda",57989000
"U. California, Davis",35,"othera",31766000
"U. Chicago",36,"all federal r d expenditures",476689000
"U. Chicago",36,"dod",27455000
"U. Chicago",36,"doe",19106000
"U. Chicago",36,"hhs",333843000
"U. Chicago",36,"nasa",9904000
"U. Chicago",36,"nsf",75499000
"U. Chicago",36,"usda",506000
"U. Chicago",36,"othera",10376000
"U. Colorado Anschutz Medical Campus",37,"all federal r d expenditures",474523000
"U. Colorado Anschutz Medical Campus",37,"dod",15486000
"U. Colorado Anschutz Medical Campus",37,"doe",0
"U. Colorado Anschutz Medical Campus",37,"hhs",447861000
"U. Colorado Anschutz Medical Campus",37,"nasa",580000
"U. Colorado Anschutz Medical Campus",37,"nsf",3343000
"U. Colorado Anschutz Medical Campus",37,"usda",32000
"U. Colorado Anschutz Medical Campus",37,"othera",7221000
"U. Illinois, Urbana-Champaign",38,"all federal r d expenditures",460491000
"U. Illinois, Urbana-Champaign",38,"dod",59094000
"U. Illinois, Urbana-Champaign",38,"doe",95415000
"U. Illinois, Urbana-Champaign",38,"hhs",95343000
"U. Illinois, Urbana-Champaign",38,"nasa",12335000
"U. Illinois, Urbana-Champaign",38,"nsf",137092000
"U. Illinois, Urbana-Champaign",38,"usda",27860000
"U. Illinois, Urbana-Champaign",38,"othera",33352000
"U. Alabama, Birmingham",39,"all federal r d expenditures",451880000
"U. Alabama, Birmingham",39,"dod",13923000
"U. Alabama, Birmingham",39,"doe",1949000
"U. Alabama, Birmingham",39,"hhs",417750000
"U. Alabama, Birmingham",39,"nasa",4278000
"U. Alabama, Birmingham",39,"nsf",7969000
"U. Alabama, Birmingham",39,"usda",166000
"U. Alabama, Birmingham",39,"othera",5845000
"Baylor C. of Medicine",40,"all federal r d expenditures",440345000
"Baylor C. of Medicine",40,"dod",17986000
"Baylor C. of Medicine",40,"doe",0
"Baylor C. of Medicine",40,"hhs",377953000
"Baylor C. of Medicine",40,"nasa",15272000
"Baylor C. of Medicine",40,"nsf",5527000
"Baylor C. of Medicine",40,"usda",16990000
"Baylor C. of Medicine",40,"othera",6617000
"Michigan State U.",41,"all federal r d expenditures",435564000
"Michigan State U.",41,"dod",15763000
"Michigan State U.",41,"doe",156742000
"Michigan State U.",41,"hhs",118142000
"Michigan State U.",41,"nasa",4094000
"Michigan State U.",41,"nsf",61082000
"Michigan State U.",41,"usda",37842000
"Michigan State U.",41,"othera",41899000
"U. Arizona",42,"all federal r d expenditures",434700000
"U. Arizona",42,"dod",35142000
"U. Arizona",42,"doe",10952000
"U. Arizona",42,"hhs",219085000
"U. Arizona",42,"nasa",70176000
"U. Arizona",42,"nsf",57350000
"U. Arizona",42,"usda",17750000
"U. Arizona",42,"othera",24245000
"Indiana U., Bloomington",43,"all federal r d expenditures",432223000
"Indiana U., Bloomington",43,"dod",26468000
"Indiana U., Bloomington",43,"doe",6277000
"Indiana U., Bloomington",43,"hhs",331669000
"Indiana U., Bloomington",43,"nasa",977000
"Indiana U., Bloomington",43,"nsf",50384000
"Indiana U., Bloomington",43,"usda",601000
"Indiana U., Bloomington",43,"othera",15847000
"Case Western Reserve U.",44,"all federal r d expenditures",431736000
"Case Western Reserve U.",44,"dod",15146000
"Case Western Reserve U.",44,"doe",9990000
"Case Western Reserve U.",44,"hhs",388194000
"Case Western Reserve U.",44,"nasa",3836000
"Case Western Reserve U.",44,"nsf",10356000
"Case Western Reserve U.",44,"usda",1083000
"Case Western Reserve U.",44,"othera",3131000
"U. Utah",45,"all federal r d expenditures",416079000
"U. Utah",45,"dod",23494000
"U. Utah",45,"doe",54890000
"U. Utah",45,"hhs",277075000
"U. Utah",45,"nasa",4649000
"U. Utah",45,"nsf",51343000
"U. Utah",45,"usda",764000
"U. Utah",45,"othera",3864000
"Boston U.",46,"all federal r d expenditures",409551000
"Boston U.",46,"dod",20847000
"Boston U.",46,"doe",8055000
"Boston U.",46,"hhs",319715000
"Boston U.",46,"nasa",11762000
"Boston U.",46,"nsf",33870000
"Boston U.",46,"usda",453000
"Boston U.",46,"othera",14849000
"Uniformed Services U. of the Health Sciences",47,"all federal r d expenditures",403671000
"Uniformed Services U. of the Health Sciences",47,"dod",396092000
"Uniformed Services U. of the Health Sciences",47,"doe",0
"Uniformed Services U. of the Health Sciences",47,"hhs",7579000
"Uniformed Services U. of the Health Sciences",47,"nasa",0
"Uniformed Services U. of the Health Sciences",47,"nsf",0
"Uniformed Services U. of the Health Sciences",47,"usda",0
"Uniformed Services U. of the Health Sciences",47,"othera",0
"Rutgers, State U. New Jersey, New Brunswick",48,"all federal r d expenditures",400930000
"Rutgers, State U. New Jersey, New Brunswick",48,"dod",19246000
"Rutgers, State U. New Jersey, New Brunswick",48,"doe",9245000
"Rutgers, State U. New Jersey, New Brunswick",48,"hhs",270149000
"Rutgers, State U. New Jersey, New Brunswick",48,"nasa",4150000
"Rutgers, State U. New Jersey, New Brunswick",48,"nsf",47501000
"Rutgers, State U. New Jersey, New Brunswick",48,"usda",20615000
"Rutgers, State U. New Jersey, New Brunswick",48,"othera",30024000
"U. Cincinnati",49,"all federal r d expenditures",391943000
"U. Cincinnati",49,"dod",16982000
"U. Cincinnati",49,"doe",4401000
"U. Cincinnati",49,"hhs",346063000
"U. Cincinnati",49,"nasa",745000
"U. Cincinnati",49,"nsf",14900000
"U. Cincinnati",49,"usda",21000
"U. Cincinnati",49,"othera",8831000
"Purdue U., West Lafayette",50,"all federal r d expenditures",385738000
"Purdue U., West Lafayette",50,"dod",86728000
"Purdue U., West Lafayette",50,"doe",35887000
"Purdue U., West Lafayette",50,"hhs",83845000
"Purdue U., West Lafayette",50,"nasa",15323000
"Purdue U., West Lafayette",50,"nsf",84597000
"Purdue U., West Lafayette",50,"usda",33628000
"Purdue U., West Lafayette",50,"othera",45730000
"Oregon Health and Science U.",51,"all federal r d expenditures",374043000
"Oregon Health and Science U.",51,"dod",11688000
"Oregon Health and Science U.",51,"doe",118000
"Oregon Health and Science U.",51,"hhs",359424000
"Oregon Health and Science U.",51,"nasa",74000
"Oregon Health and Science U.",51,"nsf",1537000
"Oregon Health and Science U.",51,"usda",0
"Oregon Health and Science U.",51,"othera",1202000
"U. Rochester",52,"all federal r d expenditures",368190000
"U. Rochester",52,"dod",14305000
"U. Rochester",52,"doe",106915000
"U. Rochester",52,"hhs",221412000
"U. Rochester",52,"nasa",1766000
"U. Rochester",52,"nsf",21335000
"U. Rochester",52,"usda",0
"U. Rochester",52,"othera",2457000
"U. Virginia, Charlottesville",53,"all federal r d expenditures",354748000
"U. Virginia, Charlottesville",53,"dod",34976000
"U. Virginia, Charlottesville",53,"doe",13314000
"U. Virginia, Charlottesville",53,"hhs",233253000
"U. Virginia, Charlottesville",53,"nasa",4779000
"U. Virginia, Charlottesville",53,"nsf",41133000
"U. Virginia, Charlottesville",53,"usda",1075000
"U. Virginia, Charlottesville",53,"othera",26218000
"Colorado State U., Fort Collins",54,"all federal r d expenditures",354401000
"Colorado State U., Fort Collins",54,"dod",106769000
"Colorado State U., Fort Collins",54,"doe",21728000
"Colorado State U., Fort Collins",54,"hhs",66714000
"Colorado State U., Fort Collins",54,"nasa",12578000
"Colorado State U., Fort Collins",54,"nsf",37561000
"Colorado State U., Fort Collins",54,"usda",53462000
"Colorado State U., Fort Collins",54,"othera",55589000
"Arizona State U.",55,"all federal r d expenditures",340880000
"Arizona State U.",55,"dod",46290000
"Arizona State U.",55,"doe",23210000
"Arizona State U.",55,"hhs",88827000
"Arizona State U.",55,"nasa",43106000
"Arizona State U.",55,"nsf",87368000
"Arizona State U.",55,"usda",3609000
"Arizona State U.",55,"othera",48470000
"U. Texas Southwestern Medical Center",56,"all federal r d expenditures",336126000
"U. Texas Southwestern Medical Center",56,"dod",13067000
"U. Texas Southwestern Medical Center",56,"doe",212000
"U. Texas Southwestern Medical Center",56,"hhs",317632000
"U. Texas Southwestern Medical Center",56,"nasa",1717000
"U. Texas Southwestern Medical Center",56,"nsf",2091000
"U. Texas Southwestern Medical Center",56,"usda",151000
"U. Texas Southwestern Medical Center",56,"othera",1256000
"U. California, Irvine",57,"all federal r d expenditures",335393000
"U. California, Irvine",57,"dod",18949000
"U. California, Irvine",57,"doe",21818000
"U. California, Irvine",57,"hhs",221676000
"U. California, Irvine",57,"nasa",5564000
"U. California, Irvine",57,"nsf",53841000
"U. California, Irvine",57,"usda",149000
"U. California, Irvine",57,"othera",13396000
"U. Iowa",58,"all federal r d expenditures",331824000
"U. Iowa",58,"dod",16153000
"U. Iowa",58,"doe",4514000
"U. Iowa",58,"hhs",232801000
"U. Iowa",58,"nasa",49232000
"U. Iowa",58,"nsf",12035000
"U. Iowa",58,"usda",1252000
"U. Iowa",58,"othera",15837000
"Utah State U.",59,"all federal r d expenditures",322336000
"Utah State U.",59,"dod",170044000
"Utah State U.",59,"doe",4134000
"Utah State U.",59,"hhs",10845000
"Utah State U.",59,"nasa",37647000
"Utah State U.",59,"nsf",16532000
"Utah State U.",59,"usda",11413000
"Utah State U.",59,"othera",71721000
"California Institute of Technology",60,"all federal r d expenditures",310519000
"California Institute of Technology",60,"dod",30414000
"California Institute of Technology",60,"doe",23660000
"California Institute of Technology",60,"hhs",81652000
"California Institute of Technology",60,"nasa",72312000
"California Institute of Technology",60,"nsf",96199000
"California Institute of Technology",60,"usda",2000
"California Institute of Technology",60,"othera",6280000
"U. Miami",61,"all federal r d expenditures",291783000
"U. Miami",61,"dod",28129000
"U. Miami",61,"doe",1772000
"U. Miami",61,"hhs",210961000
"U. Miami",61,"nasa",4350000
"U. Miami",61,"nsf",13748000
"U. Miami",61,"usda",322000
"U. Miami",61,"othera",32501000
"Virginia Polytechnic Institute and State U.",62,"all federal r d expenditures",282152000
"Virginia Polytechnic Institute and State U.",62,"dod",71734000
"Virginia Polytechnic Institute and State U.",62,"doe",19297000
"Virginia Polytechnic Institute and State U.",62,"hhs",61996000
"Virginia Polytechnic Institute and State U.",62,"nasa",8028000
"Virginia Polytechnic Institute and State U.",62,"nsf",58394000
"Virginia Polytechnic Institute and State U.",62,"usda",26449000
"Virginia Polytechnic Institute and State U.",62,"othera",36254000
"U. Nebraska, Lincoln and Medical Centerd",63,"all federal r d expenditures",280120000
"U. Nebraska, Lincoln and Medical Centerd",63,"dod",42877000
"U. Nebraska, Lincoln and Medical Centerd",63,"doe",12226000
"U. Nebraska, Lincoln and Medical Centerd",63,"hhs",138888000
"U. Nebraska, Lincoln and Medical Centerd",63,"nasa",805000
"U. Nebraska, Lincoln and Medical Centerd",63,"nsf",38292000
"U. Nebraska, Lincoln and Medical Centerd",63,"usda",29004000
"U. Nebraska, Lincoln and Medical Centerd",63,"othera",18028000
"Carnegie Mellon U.",64,"all federal r d expenditures",279954000
"Carnegie Mellon U.",64,"dod",121019000
"Carnegie Mellon U.",64,"doe",16363000
"Carnegie Mellon U.",64,"hhs",47817000
"Carnegie Mellon U.",64,"nasa",5753000
"Carnegie Mellon U.",64,"nsf",73377000
"Carnegie Mellon U.",64,"usda",2392000
"Carnegie Mellon U.",64,"othera",13233000
"North Carolina State U.",65,"all federal r d expenditures",279179000
"North Carolina State U.",65,"dod",33966000
"North Carolina State U.",65,"doe",29033000
"North Carolina State U.",65,"hhs",52326000
"North Carolina State U.",65,"nasa",2743000
"North Carolina State U.",65,"nsf",66411000
"North Carolina State U.",65,"usda",58599000
"North Carolina State U.",65,"othera",36101000
"Scripps Research Institute",66,"all federal r d expenditures",278099000
"Scripps Research Institute",66,"dod",4693000
"Scripps Research Institute",66,"doe",388000
"Scripps Research Institute",66,"hhs",269196000
"Scripps Research Institute",66,"nasa",1084000
"Scripps Research Institute",66,"nsf",2301000
"Scripps Research Institute",66,"usda",0
"Scripps Research Institute",66,"othera",437000
"U. Illinois, Chicago",67,"all federal r d expenditures",274424000
"U. Illinois, Chicago",67,"dod",17074000
"U. Illinois, Chicago",67,"doe",12844000
"U. Illinois, Chicago",67,"hhs",205543000
"U. Illinois, Chicago",67,"nasa",448000
"U. Illinois, Chicago",67,"nsf",27352000
"U. Illinois, Chicago",67,"usda",79000
"U. Illinois, Chicago",67,"othera",11084000
"U. Kentucky",68,"all federal r d expenditures",265543000
"U. Kentucky",68,"dod",14714000
"U. Kentucky",68,"doe",10455000
"U. Kentucky",68,"hhs",191087000
"U. Kentucky",68,"nasa",2597000
"U. Kentucky",68,"nsf",20442000
"U. Kentucky",68,"usda",16487000
"U. Kentucky",68,"othera",9761000
"U. Texas M. D. Anderson Cancer Center",69,"all federal r d expenditures",259285000
"U. Texas M. D. Anderson Cancer Center",69,"dod",17584000
"U. Texas M. D. Anderson Cancer Center",69,"doe",0
"U. Texas M. D. Anderson Cancer Center",69,"hhs",239726000
"U. Texas M. D. Anderson Cancer Center",69,"nasa",267000
"U. Texas M. D. Anderson Cancer Center",69,"nsf",988000
"U. Texas M. D. Anderson Cancer Center",69,"usda",3000
"U. Texas M. D. Anderson Cancer Center",69,"othera",717000
"SUNY, U. Buffalo",70,"all federal r d expenditures",257857000
"SUNY, U. Buffalo",70,"dod",62081000
"SUNY, U. Buffalo",70,"doe",9551000
"SUNY, U. Buffalo",70,"hhs",137564000
"SUNY, U. Buffalo",70,"nasa",1728000
"SUNY, U. Buffalo",70,"nsf",33542000
"SUNY, U. Buffalo",70,"usda",702000
"SUNY, U. Buffalo",70,"othera",12689000
"U. South Florida",71,"all federal r d expenditures",242224000
"U. South Florida",71,"dod",18617000
"U. South Florida",71,"doe",2748000
"U. South Florida",71,"hhs",139899000
"U. South Florida",71,"nasa",2697000
"U. South Florida",71,"nsf",16541000
"U. South Florida",71,"usda",82000
"U. South Florida",71,"othera",61640000
"Brown U.",72,"all federal r d expenditures",239744000
"Brown U.",72,"dod",19737000
"Brown U.",72,"doe",7733000
"Brown U.",72,"hhs",165621000
"Brown U.",72,"nasa",5747000
"Brown U.",72,"nsf",34145000
"Brown U.",72,"usda",195000
"Brown U.",72,"othera",6566000
"U. Connecticut",73,"all federal r d expenditures",238701000
"U. Connecticut",73,"dod",22360000
"U. Connecticut",73,"doe",8592000
"U. Connecticut",73,"hhs",135171000
"U. Connecticut",73,"nasa",3343000
"U. Connecticut",73,"nsf",31244000
"U. Connecticut",73,"usda",11514000
"U. Connecticut",73,"othera",26477000
"Woods Hole Oceanographic Institution",74,"all federal r d expenditures",238554000
"Woods Hole Oceanographic Institution",74,"dod",46139000
"Woods Hole Oceanographic Institution",74,"doe",2666000
