"institution","rank","source","dollars"
"U. Maine",140,"all other sources",1882000
"U. Nevada, Reno",141,"all r d expenditures",188505000
"U. Nevada, Reno",141,"federal government",83603000
"U. Nevada, Reno",141,"state and local government",7744000
"U. Nevada, Reno",141,"institution funds",83470000
"U. Nevada, Reno",141,"business",2666000
"U. Nevada, Reno",141,"nonprofit organizations",1926000
"U. Nevada, Reno",141,"all other sources",9096000
"U. Alabama, Tuscaloosa",142,"all r d expenditures",184880000
"U. Alabama, Tuscaloosa",142,"federal government",86244000
"U. Alabama, Tuscaloosa",142,"state and local government",16660000
"U. Alabama, Tuscaloosa",142,"institution funds",77554000
"U. Alabama, Tuscaloosa",142,"business",1973000
"U. Alabama, Tuscaloosa",142,"nonprofit organizations",1753000
"U. Alabama, Tuscaloosa",142,"all other sources",696000
"Syracuse U.",143,"all r d expenditures",183850000
"Syracuse U.",143,"federal government",46595000
"Syracuse U.",143,"state and local government",10706000
"Syracuse U.",143,"institution funds",108685000
"Syracuse U.",143,"business",9170000
"Syracuse U.",143,"nonprofit organizations",8570000
"Syracuse U.",143,"all other sources",124000
"U. North Dakota",144,"all r d expenditures",182195000
"U. North Dakota",144,"federal government",65890000
"U. North Dakota",144,"state and local government",46885000
"U. North Dakota",144,"institution funds",50685000
"U. North Dakota",144,"business",17438000
"U. North Dakota",144,"nonprofit organizations",955000
"U. North Dakota",144,"all other sources",342000
"U. Mississippi",145,"all r d expenditures",172176000
"U. Mississippi",145,"federal government",85186000
"U. Mississippi",145,"state and local government",10670000
"U. Mississippi",145,"institution funds",68074000
"U. Mississippi",145,"business",3311000
"U. Mississippi",145,"nonprofit organizations",4583000
"U. Mississippi",145,"all other sources",352000
"Drexel U.",146,"all r d expenditures",169583000
"Drexel U.",146,"federal government",108724000
"Drexel U.",146,"state and local government",4464000
"Drexel U.",146,"institution funds",43396000
"Drexel U.",146,"business",1727000
"Drexel U.",146,"nonprofit organizations",8475000
"Drexel U.",146,"all other sources",2797000
"U. Oregon",147,"all r d expenditures",164500000
"U. Oregon",147,"federal government",100265000
"U. Oregon",147,"state and local government",1674000
"U. Oregon",147,"institution funds",19590000
"U. Oregon",147,"business",443000
"U. Oregon",147,"nonprofit organizations",6634000
"U. Oregon",147,"all other sources",35894000
"U. Alabama, Huntsville",148,"all r d expenditures",163428000
"U. Alabama, Huntsville",148,"federal government",126040000
"U. Alabama, Huntsville",148,"state and local government",5071000
"U. Alabama, Huntsville",148,"institution funds",30635000
"U. Alabama, Huntsville",148,"business",731000
"U. Alabama, Huntsville",148,"nonprofit organizations",689000
"U. Alabama, Huntsville",148,"all other sources",262000
"New Jersey Institute of Technology",149,"all r d expenditures",161078000
"New Jersey Institute of Technology",149,"federal government",70080000
"New Jersey Institute of Technology",149,"state and local government",19994000
"New Jersey Institute of Technology",149,"institution funds",64230000
"New Jersey Institute of Technology",149,"business",1385000
"New Jersey Institute of Technology",149,"nonprofit organizations",1616000
"New Jersey Institute of Technology",149,"all other sources",3773000
"U. Texas, San Antonio",150,"all r d expenditures",158453000
"U. Texas, San Antonio",150,"federal government",58171000
"U. Texas, San Antonio",150,"state and local government",21583000
"U. Texas, San Antonio",150,"institution funds",67694000
"U. Texas, San Antonio",150,"business",5971000
"U. Texas, San Antonio",150,"nonprofit organizations",1988000
"U. Texas, San Antonio",150,"all other sources",3046000
"San Diego State U.",151,"all r d expenditures",158013000
"San Diego State U.",151,"federal government",68045000
"San Diego State U.",151,"state and local government",6745000
"San Diego State U.",151,"institution funds",77130000
"San Diego State U.",151,"business",469000
"San Diego State U.",151,"nonprofit organizations",3666000
"San Diego State U.",151,"all other sources",1958000
"U. Wyoming",152,"all r d expenditures",150124000
"U. Wyoming",152,"federal government",68467000
"U. Wyoming",152,"state and local government",7464000
"U. Wyoming",152,"institution funds",67771000
"U. Wyoming",152,"business",2848000
"U. Wyoming",152,"nonprofit organizations",1934000
"U. Wyoming",152,"all other sources",1640000
"U. Texas, Arlington",153,"all r d expenditures",147265000
"U. Texas, Arlington",153,"federal government",56337000
"U. Texas, Arlington",153,"state and local government",28343000
"U. Texas, Arlington",153,"institution funds",50435000
"U. Texas, Arlington",153,"business",5284000
"U. Texas, Arlington",153,"nonprofit organizations",4708000
"U. Texas, Arlington",153,"all other sources",2158000
"U. Texas, Dallas",154,"all r d expenditures",146779000
"U. Texas, Dallas",154,"federal government",66127000
"U. Texas, Dallas",154,"state and local government",13085000
"U. Texas, Dallas",154,"institution funds",38169000
"U. Texas, Dallas",154,"business",12518000
"U. Texas, Dallas",154,"nonprofit organizations",16383000
"U. Texas, Dallas",154,"all other sources",497000
"U. Texas, El Paso",155,"all r d expenditures",145724000
"U. Texas, El Paso",155,"federal government",70873000
"U. Texas, El Paso",155,"state and local government",16687000
"U. Texas, El Paso",155,"institution funds",44987000
"U. Texas, El Paso",155,"business",1268000
"U. Texas, El Paso",155,"nonprofit organizations",1770000
"U. Texas, El Paso",155,"all other sources",10139000
"U. Maryland, Baltimore County",156,"all r d expenditures",144262000
"U. Maryland, Baltimore County",156,"federal government",86573000
"U. Maryland, Baltimore County",156,"state and local government",8087000
"U. Maryland, Baltimore County",156,"institution funds",42409000
"U. Maryland, Baltimore County",156,"business",2469000
"U. Maryland, Baltimore County",156,"nonprofit organizations",3332000
"U. Maryland, Baltimore County",156,"all other sources",1392000
"U. Rhode Island",157,"all r d expenditures",144013000
"U. Rhode Island",157,"federal government",102056000
"U. Rhode Island",157,"state and local government",6615000
"U. Rhode Island",157,"institution funds",29165000
"U. Rhode Island",157,"business",2094000
"U. Rhode Island",157,"nonprofit organizations",3441000
"U. Rhode Island",157,"all other sources",642000
"SUNY, Binghamton U.",158,"all r d expenditures",141685000
"SUNY, Binghamton U.",158,"federal government",31601000
"SUNY, Binghamton U.",158,"state and local government",6115000
"SUNY, Binghamton U.",158,"institution funds",96213000
"SUNY, Binghamton U.",158,"business",4067000
"SUNY, Binghamton U.",158,"nonprofit organizations",242000
"SUNY, Binghamton U.",158,"all other sources",3447000
"SUNY, U. Albany",159,"all r d expenditures",141671000
"SUNY, U. Albany",159,"federal government",62935000
"SUNY, U. Albany",159,"state and local government",1019000
"SUNY, U. Albany",159,"institution funds",69881000
"SUNY, U. Albany",159,"business",927000
"SUNY, U. Albany",159,"nonprofit organizations",4707000
"SUNY, U. Albany",159,"all other sources",2202000
"Texas State U.",160,"all r d expenditures",141291000
"Texas State U.",160,"federal government",44297000
"Texas State U.",160,"state and local government",4667000
"Texas State U.",160,"institution funds",83686000
"Texas State U.",160,"business",1378000
"Texas State U.",160,"nonprofit organizations",7106000
"Texas State U.",160,"all other sources",157000
"Augusta U.",161,"all r d expenditures",139121000
"Augusta U.",161,"federal government",64410000
"Augusta U.",161,"state and local government",214000
"Augusta U.",161,"institution funds",62558000
"Augusta U.",161,"business",4396000
"Augusta U.",161,"nonprofit organizations",6836000
"Augusta U.",161,"all other sources",707000
"Brigham Young U., Provo",162,"all r d expenditures",137748000
"Brigham Young U., Provo",162,"federal government",31216000
"Brigham Young U., Provo",162,"state and local government",1145000
"Brigham Young U., Provo",162,"institution funds",99661000
"Brigham Young U., Provo",162,"business",2980000
"Brigham Young U., Provo",162,"nonprofit organizations",2649000
"Brigham Young U., Provo",162,"all other sources",97000
"U. Idaho",163,"all r d expenditures",135901000
"U. Idaho",163,"federal government",61531000
"U. Idaho",163,"state and local government",47894000
"U. Idaho",163,"institution funds",20377000
"U. Idaho",163,"business",1846000
"U. Idaho",163,"nonprofit organizations",852000
"U. Idaho",163,"all other sources",3401000
"U. Montana, Missoula",164,"all r d expenditures",133958000
"U. Montana, Missoula",164,"federal government",75490000
"U. Montana, Missoula",164,"state and local government",1511000
"U. Montana, Missoula",164,"institution funds",53689000
"U. Montana, Missoula",164,"business",220000
"U. Montana, Missoula",164,"nonprofit organizations",2498000
"U. Montana, Missoula",164,"all other sources",550000
"Rush U.",165,"all r d expenditures",132394000
"Rush U.",165,"federal government",93180000
"Rush U.",165,"state and local government",2208000
"Rush U.",165,"institution funds",12316000
"Rush U.",165,"business",16533000
"Rush U.",165,"nonprofit organizations",8157000
"Rush U.",165,"all other sources",0
"U. Tennessee, Health Science Center",166,"all r d expenditures",130472000
"U. Tennessee, Health Science Center",166,"federal government",70676000
"U. Tennessee, Health Science Center",166,"state and local government",6816000
"U. Tennessee, Health Science Center",166,"institution funds",34783000
"U. Tennessee, Health Science Center",166,"business",4183000
"U. Tennessee, Health Science Center",166,"nonprofit organizations",6814000
"U. Tennessee, Health Science Center",166,"all other sources",7200000
"New Mexico State U.",167,"all r d expenditures",126337000
"New Mexico State U.",167,"federal government",71764000
"New Mexico State U.",167,"state and local government",24741000
"New Mexico State U.",167,"institution funds",18791000
"New Mexico State U.",167,"business",1873000
"New Mexico State U.",167,"nonprofit organizations",3039000
"New Mexico State U.",167,"all other sources",6129000
"Rensselaer Polytechnic Institute",168,"all r d expenditures",121706000
"Rensselaer Polytechnic Institute",168,"federal government",56445000
"Rensselaer Polytechnic Institute",168,"state and local government",3289000
"Rensselaer Polytechnic Institute",168,"institution funds",45192000
"Rensselaer Polytechnic Institute",168,"business",10959000
"Rensselaer Polytechnic Institute",168,"nonprofit organizations",3123000
"Rensselaer Polytechnic Institute",168,"all other sources",2698000
"New Mexico Institute of Mining and Technology",169,"all r d expenditures",118735000
"New Mexico Institute of Mining and Technology",169,"federal government",100873000
"New Mexico Institute of Mining and Technology",169,"state and local government",10189000
"New Mexico Institute of Mining and Technology",169,"institution funds",3375000
"New Mexico Institute of Mining and Technology",169,"business",3346000
"New Mexico Institute of Mining and Technology",169,"nonprofit organizations",324000
"New Mexico Institute of Mining and Technology",169,"all other sources",628000
"Cold Spring Harbor Laboratory",170,"all r d expenditures",117483000
"Cold Spring Harbor Laboratory",170,"federal government",54123000
"Cold Spring Harbor Laboratory",170,"state and local government",209000
"Cold Spring Harbor Laboratory",170,"institution funds",38367000
"Cold Spring Harbor Laboratory",170,"business",3914000
"Cold Spring Harbor Laboratory",170,"nonprofit organizations",20870000
"Cold Spring Harbor Laboratory",170,"all other sources",0
"U. Massachusetts, Lowell",171,"all r d expenditures",117336000
"U. Massachusetts, Lowell",171,"federal government",61413000
"U. Massachusetts, Lowell",171,"state and local government",4420000
"U. Massachusetts, Lowell",171,"institution funds",39726000
"U. Massachusetts, Lowell",171,"business",7554000
"U. Massachusetts, Lowell",171,"nonprofit organizations",2527000
"U. Massachusetts, Lowell",171,"all other sources",1696000
"U. North Texas, Denton",172,"all r d expenditures",106665000
"U. North Texas, Denton",172,"federal government",30017000
"U. North Texas, Denton",172,"state and local government",5695000
"U. North Texas, Denton",172,"institution funds",63577000
"U. North Texas, Denton",172,"business",1907000
"U. North Texas, Denton",172,"nonprofit organizations",2170000
"U. North Texas, Denton",172,"all other sources",3299000
"Colorado School of Mines",173,"all r d expenditures",104297000
"Colorado School of Mines",173,"federal government",68795000
"Colorado School of Mines",173,"state and local government",1804000
"Colorado School of Mines",173,"institution funds",14035000
"Colorado School of Mines",173,"business",11399000
"Colorado School of Mines",173,"nonprofit organizations",3388000
"Colorado School of Mines",173,"all other sources",4876000
"Michigan Technological U.",174,"all r d expenditures",103819000
"Michigan Technological U.",174,"federal government",52102000
"Michigan Technological U.",174,"state and local government",1236000
"Michigan Technological U.",174,"institution funds",40859000
"Michigan Technological U.",174,"business",6632000
"Michigan Technological U.",174,"nonprofit organizations",968000
"Michigan Technological U.",174,"all other sources",2022000
"Brandeis U.",175,"all r d expenditures",103653000
"Brandeis U.",175,"federal government",46654000
"Brandeis U.",175,"state and local government",406000
"Brandeis U.",175,"institution funds",41318000
"Brandeis U.",175,"business",661000
"Brandeis U.",175,"nonprofit organizations",10730000
"Brandeis U.",175,"all other sources",3884000
"Touro U., New York",176,"all r d expenditures",100547000
"Touro U., New York",176,"federal government",40008000
"Touro U., New York",176,"state and local government",0
"Touro U., New York",176,"institution funds",7152000
"Touro U., New York",176,"business",53387000
"Touro U., New York",176,"nonprofit organizations",0
"Touro U., New York",176,"all other sources",0
"U. Memphis",177,"all r d expenditures",100042000
"U. Memphis",177,"federal government",26913000
"U. Memphis",177,"state and local government",9680000
"U. Memphis",177,"institution funds",58132000
"U. Memphis",177,"business",1839000
"U. Memphis",177,"nonprofit organizations",3273000
"U. Memphis",177,"all other sources",205000
"U. Nevada, Las Vegas",178,"all r d expenditures",98751000
"U. Nevada, Las Vegas",178,"federal government",38815000
"U. Nevada, Las Vegas",178,"state and local government",2536000
"U. Nevada, Las Vegas",178,"institution funds",51945000
"U. Nevada, Las Vegas",178,"business",1599000
"U. Nevada, Las Vegas",178,"nonprofit organizations",1096000
"U. Nevada, Las Vegas",178,"all other sources",2760000
"U. North Texas, Health Science Center",179,"all r d expenditures",94652000
"U. North Texas, Health Science Center",179,"federal government",77660000
"U. North Texas, Health Science Center",179,"state and local government",3180000
"U. North Texas, Health Science Center",179,"institution funds",11773000
"U. North Texas, Health Science Center",179,"business",847000
"U. North Texas, Health Science Center",179,"nonprofit organizations",1003000
"U. North Texas, Health Science Center",179,"all other sources",189000
"U. North Carolina, Charlotte",180,"all r d expenditures",92027000
"U. North Carolina, Charlotte",180,"federal government",33784000
"U. North Carolina, Charlotte",180,"state and local government",1922000
"U. North Carolina, Charlotte",180,"institution funds",52624000
"U. North Carolina, Charlotte",180,"business",3136000
"U. North Carolina, Charlotte",180,"nonprofit organizations",553000
"U. North Carolina, Charlotte",180,"all other sources",8000
"Cleveland State U.",181,"all r d expenditures",87941000
"Cleveland State U.",181,"federal government",56550000
"Cleveland State U.",181,"state and local government",2913000
"Cleveland State U.",181,"institution funds",19420000
"Cleveland State U.",181,"business",3494000
"Cleveland State U.",181,"nonprofit organizations",5423000
"Cleveland State U.",181,"all other sources",141000
"Indiana U.-Purdue U., Indianapolis",182,"all r d expenditures",87648000
"Indiana U.-Purdue U., Indianapolis",182,"federal government",39869000
"Indiana U.-Purdue U., Indianapolis",182,"state and local government",3029000
"Indiana U.-Purdue U., Indianapolis",182,"institution funds",34236000
"Indiana U.-Purdue U., Indianapolis",182,"business",3434000
"Indiana U.-Purdue U., Indianapolis",182,"nonprofit organizations",6776000
"Indiana U.-Purdue U., Indianapolis",182,"all other sources",304000
"Saint Louis U.",183,"all r d expenditures",85921000
"Saint Louis U.",183,"federal government",44157000
"Saint Louis U.",183,"state and local government",646000
"Saint Louis U.",183,"institution funds",21971000
"Saint Louis U.",183,"business",5412000
"Saint Louis U.",183,"nonprofit organizations",13484000
"Saint Louis U.",183,"all other sources",251000
"Howard U.",184,"all r d expenditures",84756000
"Howard U.",184,"federal government",47662000
"Howard U.",184,"state and local government",2840000
"Howard U.",184,"institution funds",22461000
"Howard U.",184,"business",4552000
"Howard U.",184,"nonprofit organizations",5140000
"Howard U.",184,"all other sources",2101000
"San Jose State U.",185,"all r d expenditures",83406000
"San Jose State U.",185,"federal government",31780000
"San Jose State U.",185,"state and local government",7116000
"San Jose State U.",185,"institution funds",38582000
"San Jose State U.",185,"business",2101000
"San Jose State U.",185,"nonprofit organizations",2478000
"San Jose State U.",185,"all other sources",1349000
"U. Texas Rio Grande Valley",186,"all r d expenditures",82444000
"U. Texas Rio Grande Valley",186,"federal government",25068000
"U. Texas Rio Grande Valley",186,"state and local government",4367000
"U. Texas Rio Grande Valley",186,"institution funds",37248000
"U. Texas Rio Grande Valley",186,"business",569000
"U. Texas Rio Grande Valley",186,"nonprofit organizations",15016000
"U. Texas Rio Grande Valley",186,"all other sources",176000
"Baylor U.",187,"all r d expenditures",82074000
"Baylor U.",187,"federal government",17147000
"Baylor U.",187,"state and local government",2879000
"Baylor U.",187,"institution funds",45076000
"Baylor U.",187,"business",3460000
"Baylor U.",187,"nonprofit organizations",12667000
"Baylor U.",187,"all other sources",845000
"William & Mary",188,"all r d expenditures",81815000
"William & Mary",188,"federal government",32631000
"William & Mary",188,"state and local government",3882000
"William & Mary",188,"institution funds",35413000
"William & Mary",188,"business",1174000
"William & Mary",188,"nonprofit organizations",5385000
"William & Mary",188,"all other sources",3330000
"Boston C.",189,"all r d expenditures",81425000
"Boston C.",189,"federal government",39356000
"Boston C.",189,"state and local government",2517000
"Boston C.",189,"institution funds",18254000
"Boston C.",189,"business",974000
"Boston C.",189,"nonprofit organizations",19273000
"Boston C.",189,"all other sources",1051000
"Van Andel Research Institute",190,"all r d expenditures",80748000
"Van Andel Research Institute",190,"federal government",30934000
"Van Andel Research Institute",190,"state and local government",2597000
"Van Andel Research Institute",190,"institution funds",36082000
"Van Andel Research Institute",190,"business",155000
"Van Andel Research Institute",190,"nonprofit organizations",4149000
"Van Andel Research Institute",190,"all other sources",6831000
"Florida Atlantic U.",191,"all r d expenditures",77593000
"Florida Atlantic U.",191,"federal government",35108000
"Florida Atlantic U.",191,"state and local government",8511000
"Florida Atlantic U.",191,"institution funds",23101000
"Florida Atlantic U.",191,"business",2611000
"Florida Atlantic U.",191,"nonprofit organizations",7308000
"Florida Atlantic U.",191,"all other sources",954000
"Northern Arizona U.",192,"all r d expenditures",77533000
"Northern Arizona U.",192,"federal government",50491000
"Northern Arizona U.",192,"state and local government",9030000
"Northern Arizona U.",192,"institution funds",15566000
"Northern Arizona U.",192,"business",1023000
"Northern Arizona U.",192,"nonprofit organizations",1250000
"Northern Arizona U.",192,"all other sources",173000
"Naval Postgraduate School",193,"all r d expenditures",77364000
"Naval Postgraduate School",193,"federal government",62715000
"Naval Postgraduate School",193,"state and local government",0
"Naval Postgraduate School",193,"institution funds",13261000
"Naval Postgraduate School",193,"business",654000
"Naval Postgraduate School",193,"nonprofit organizations",67000
"Naval Postgraduate School",193,"all other sources",667000
"American U.",194,"all r d expenditures",76041000
"American U.",194,"federal government",17462000
"American U.",194,"state and local government",2193000
"American U.",194,"institution funds",44220000
"American U.",194,"business",603000
"American U.",194,"nonprofit organizations",9510000
"American U.",194,"all other sources",2053000
"U. Southern Mississippi",195,"all r d expenditures",75034000
"U. Southern Mississippi",195,"federal government",48374000
"U. Southern Mississippi",195,"state and local government",13504000
"U. Southern Mississippi",195,"institution funds",12285000
"U. Southern Mississippi",195,"business",372000
"U. Southern Mississippi",195,"nonprofit organizations",499000
"U. Southern Mississippi",195,"all other sources",0
"Rochester Institute of Technology",196,"all r d expenditures",72405000
"Rochester Institute of Technology",196,"federal government",37334000
"Rochester Institute of Technology",196,"state and local government",9828000
"Rochester Institute of Technology",196,"institution funds",19161000
"Rochester Institute of Technology",196,"business",3084000
"Rochester Institute of Technology",196,"nonprofit organizations",2178000
"Rochester Institute of Technology",196,"all other sources",820000
"South Dakota State U.",197,"all r d expenditures",71340000
"South Dakota State U.",197,"federal government",28897000
"South Dakota State U.",197,"state and local government",17795000
"South Dakota State U.",197,"institution funds",6156000
"South Dakota State U.",197,"business",1432000
"South Dakota State U.",197,"nonprofit organizations",3251000
"South Dakota State U.",197,"all other sources",13809000
"Old Dominion U.",198,"all r d expenditures",71334000
"Old Dominion U.",198,"federal government",31104000
"Old Dominion U.",198,"state and local government",13535000
"Old Dominion U.",198,"institution funds",23954000
"Old Dominion U.",198,"business",387000
"Old Dominion U.",198,"nonprofit organizations",1915000
"Old Dominion U.",198,"all other sources",439000
"U. Massachusetts, Boston",199,"all r d expenditures",70978000
"U. Massachusetts, Boston",199,"federal government",27098000
"U. Massachusetts, Boston",199,"state and local government",7176000
"U. Massachusetts, Boston",199,"institution funds",27225000
"U. Massachusetts, Boston",199,"business",2400000
"U. Massachusetts, Boston",199,"nonprofit organizations",6733000
"U. Massachusetts, Boston",199,"all other sources",346000
"Louisiana State U., Health Sciences Center, New Orleans",200,"all r d expenditures",68707000
"Louisiana State U., Health Sciences Center, New Orleans",200,"federal government",35933000
"Louisiana State U., Health Sciences Center, New Orleans",200,"state and local government",447000
"Louisiana State U., Health Sciences Center, New Orleans",200,"institution funds",24332000
"Louisiana State U., Health Sciences Center, New Orleans",200,"business",3478000
"Louisiana State U., Health Sciences Center, New Orleans",200,"nonprofit organizations",4235000
"Louisiana State U., Health Sciences Center, New Orleans",200,"all other sources",282000
"U. Toledo",201,"all r d expenditures",67656000
"U. Toledo",201,"federal government",37872000
"U. Toledo",201,"state and local government",1615000
"U. Toledo",201,"institution funds",22250000
"U. Toledo",201,"business",2292000
"U. Toledo",201,"nonprofit organizations",3230000
"U. Toledo",201,"all other sources",397000
"East Carolina U.",202,"all r d expenditures",67082000
"East Carolina U.",202,"federal government",30851000
"East Carolina U.",202,"state and local government",371000
"East Carolina U.",202,"institution funds",28495000
"East Carolina U.",202,"business",4648000
"East Carolina U.",202,"nonprofit organizations",2267000
"East Carolina U.",202,"all other sources",450000
"Worcester Polytechnic Institute",203,"all r d expenditures",66353000
"Worcester Polytechnic Institute",203,"federal government",37736000
"Worcester Polytechnic Institute",203,"state and local government",2141000
"Worcester Polytechnic Institute",203,"institution funds",20202000
"Worcester Polytechnic Institute",203,"business",4072000
"Worcester Polytechnic Institute",203,"nonprofit organizations",1380000
"Worcester Polytechnic Institute",203,"all other sources",822000
"Florida A&M U.",204,"all r d expenditures",65159000
"Florida A&M U.",204,"federal government",54363000
"Florida A&M U.",204,"state and local government",2851000
"Florida A&M U.",204,"institution funds",6503000
"Florida A&M U.",204,"business",586000
"Florida A&M U.",204,"nonprofit organizations",856000
"Florida A&M U.",204,"all other sources",0
"U. California, Office of the President",205,"all r d expenditures",63629000
"U. California, Office of the President",205,"federal government",25000
"U. California, Office of the President",205,"state and local government",41345000
"U. California, Office of the President",205,"institution funds",22143000
"U. California, Office of the President",205,"business",0
"U. California, Office of the President",205,"nonprofit organizations",0
"U. California, Office of the President",205,"all other sources",116000
"CUNY, City C.",206,"all r d expenditures",63159000
"CUNY, City C.",206,"federal government",38669000
"CUNY, City C.",206,"state and local government",11846000
"CUNY, City C.",206,"institution funds",10996000
"CUNY, City C.",206,"business",223000
"CUNY, City C.",206,"nonprofit organizations",1047000
"CUNY, City C.",206,"all other sources",378000
"North Carolina A&T State U.",207,"all r d expenditures",62307000
"North Carolina A&T State U.",207,"federal government",37152000
"North Carolina A&T State U.",207,"state and local government",2075000
"North Carolina A&T State U.",207,"institution funds",21880000
"North Carolina A&T State U.",207,"business",628000
"North Carolina A&T State U.",207,"nonprofit organizations",292000
"North Carolina A&T State U.",207,"all other sources",280000
"U. California, Merced",208,"all r d expenditures",62279000
"U. California, Merced",208,"federal government",28576000
"U. California, Merced",208,"state and local government",6985000
"U. California, Merced",208,"institution funds",20709000
"U. California, Merced",208,"business",1294000
"U. California, Merced",208,"nonprofit organizations",2464000
"U. California, Merced",208,"all other sources",2251000
"Missouri U. of Science and Technology",209,"all r d expenditures",61496000
"Missouri U. of Science and Technology",209,"federal government",32457000
"Missouri U. of Science and Technology",209,"state and local government",682000
"Missouri U. of Science and Technology",209,"institution funds",17847000
"Missouri U. of Science and Technology",209,"business",3907000
"Missouri U. of Science and Technology",209,"nonprofit organizations",1037000
"Missouri U. of Science and Technology",209,"all other sources",5566000
"U. Puerto Rico, Medical Sciences Campus",210,"all r d expenditures",61235000
"U. Puerto Rico, Medical Sciences Campus",210,"federal government",46789000
"U. Puerto Rico, Medical Sciences Campus",210,"state and local government",406000
"U. Puerto Rico, Medical Sciences Campus",210,"institution funds",10781000
"U. Puerto Rico, Medical Sciences Campus",210,"business",3259000
"U. Puerto Rico, Medical Sciences Campus",210,"nonprofit organizations",0
"U. Puerto Rico, Medical Sciences Campus",210,"all other sources",0
"U. Wisconsin-Milwaukee",211,"all r d expenditures",60712000
"U. Wisconsin-Milwaukee",211,"federal government",25612000
"U. Wisconsin-Milwaukee",211,"state and local government",17207000
"U. Wisconsin-Milwaukee",211,"institution funds",13084000
"U. Wisconsin-Milwaukee",211,"business",1431000
"U. Wisconsin-Milwaukee",211,"nonprofit organizations",1450000
"U. Wisconsin-Milwaukee",211,"all other sources",1928000
"Stevens Institute of Technology",212,"all r d expenditures",60685000
"Stevens Institute of Technology",212,"federal government",44036000
"Stevens Institute of Technology",212,"state and local government",2069000
"Stevens Institute of Technology",212,"institution funds",9833000
"Stevens Institute of Technology",212,"business",3397000
"Stevens Institute of Technology",212,"nonprofit organizations",929000
"Stevens Institute of Technology",212,"all other sources",421000
"Ohio U.",213,"all r d expenditures",59877000
"Ohio U.",213,"federal government",21919000
"Ohio U.",213,"state and local government",1041000
"Ohio U.",213,"institution funds",31828000
"Ohio U.",213,"business",3767000
"Ohio U.",213,"nonprofit organizations",1011000
"Ohio U.",213,"all other sources",311000
"Southern Methodist U.",214,"all r d expenditures",59749000
"Southern Methodist U.",214,"federal government",19986000
"Southern Methodist U.",214,"state and local government",1393000
"Southern Methodist U.",214,"institution funds",33204000
"Southern Methodist U.",214,"business",1601000
"Southern Methodist U.",214,"nonprofit organizations",3399000
"Southern Methodist U.",214,"all other sources",166000
"Kent State U.",215,"all r d expenditures",58984000
"Kent State U.",215,"federal government",17959000
"Kent State U.",215,"state and local government",1021000
"Kent State U.",215,"institution funds",37300000
"Kent State U.",215,"business",753000
"Kent State U.",215,"nonprofit organizations",1872000
"Kent State U.",215,"all other sources",79000
"Southern Illinois U., Carbondale",216,"all r d expenditures",58291000
"Southern Illinois U., Carbondale",216,"federal government",17209000
"Southern Illinois U., Carbondale",216,"state and local government",3522000
"Southern Illinois U., Carbondale",216,"institution funds",29972000
"Southern Illinois U., Carbondale",216,"business",6916000
"Southern Illinois U., Carbondale",216,"nonprofit organizations",672000
"Southern Illinois U., Carbondale",216,"all other sources",0
"Morehouse School of Medicine",217,"all r d expenditures",57125000
"Morehouse School of Medicine",217,"federal government",41069000
"Morehouse School of Medicine",217,"state and local government",987000
"Morehouse School of Medicine",217,"institution funds",10710000
"Morehouse School of Medicine",217,"business",0
"Morehouse School of Medicine",217,"nonprofit organizations",4359000
"Morehouse School of Medicine",217,"all other sources",0
"Air Force Institute of Technology",218,"all r d expenditures",56848000
"Air Force Institute of Technology",218,"federal government",45087000
"Air Force Institute of Technology",218,"state and local government",0
"Air Force Institute of Technology",218,"institution funds",11659000
"Air Force Institute of Technology",218,"business",102000
"Air Force Institute of Technology",218,"nonprofit organizations",0
"Air Force Institute of Technology",218,"all other sources",0
"Lehigh U.",219,"all r d expenditures",56301000
"Lehigh U.",219,"federal government",39909000
"Lehigh U.",219,"state and local government",2479000
"Lehigh U.",219,"institution funds",11921000
"Lehigh U.",219,"business",893000
"Lehigh U.",219,"nonprofit organizations",1081000
"Lehigh U.",219,"all other sources",18000
"U. Missouri, Kansas City",220,"all r d expenditures",54565000
"U. Missouri, Kansas City",220,"federal government",28115000
"U. Missouri, Kansas City",220,"state and local government",336000
"U. Missouri, Kansas City",220,"institution funds",20030000
"U. Missouri, Kansas City",220,"business",582000
"U. Missouri, Kansas City",220,"nonprofit organizations",934000
"U. Missouri, Kansas City",220,"all other sources",4568000
"CUNY, Graduate Center",221,"all r d expenditures",54089000
"CUNY, Graduate Center",221,"federal government",2792000
"CUNY, Graduate Center",221,"state and local government",428000
"CUNY, Graduate Center",221,"institution funds",45484000
"CUNY, Graduate Center",221,"business",127000
"CUNY, Graduate Center",221,"nonprofit organizations",4450000
"CUNY, Graduate Center",221,"all other sources",808000
"U. Denver",222,"all r d expenditures",53484000
"U. Denver",222,"federal government",33148000
"U. Denver",222,"state and local government",4909000
"U. Denver",222,"institution funds",5028000
"U. Denver",222,"business",1978000
"U. Denver",222,"nonprofit organizations",7038000
"U. Denver",222,"all other sources",1383000
"U. Maryland Center for Environmental Science",223,"all r d expenditures",53233000
"U. Maryland Center for Environmental Science",223,"federal government",15378000
"U. Maryland Center for Environmental Science",223,"state and local government",26509000
"U. Maryland Center for Environmental Science",223,"institution funds",9309000
"U. Maryland Center for Environmental Science",223,"business",198000
"U. Maryland Center for Environmental Science",223,"nonprofit organizations",1563000
