"institution","rank","field","measure_type","dollars"
"All institutions",NA,"all r d expenditures","All",108681008000
"All institutions",NA,"computer and information sciences","All",3617348000
"All institutions",NA,"geosciences atmospheric sciences and ocean sciences","All",4032534000
"All institutions",NA,"life sciences","All",62204360000
"All institutions",NA,"mathematics and statistics","All",1060700000
"All institutions",NA,"physical sciences","All",6944769000
"All institutions",NA,"psychology","All",1637829000
"All institutions",NA,"social sciences","All",3615227000
"All institutions",NA,"sciences nec","All",1194804000
"All institutions",NA,"engineering","All",17468446000
"All institutions",NA,"all non s e fields","All",6904991000
"Johns Hopkins U",1,"all r d expenditures","All",3801585000
"Johns Hopkins U",1,"computer and information sciences","All",309828000
"Johns Hopkins U",1,"geosciences atmospheric sciences and ocean sciences","All",72538000
"Johns Hopkins U",1,"life sciences","All",1264589000
"Johns Hopkins U",1,"mathematics and statistics","All",230354000
"Johns Hopkins U",1,"physical sciences","All",332727000
"Johns Hopkins U",1,"psychology","All",8378000
"Johns Hopkins U",1,"social sciences","All",11336000
"Johns Hopkins U",1,"sciences nec","All",64191000
"Johns Hopkins U",1,"engineering","All",1493689000
"Johns Hopkins U",1,"all non s e fields","All",13955000
"U. California, San Francisco",2,"all r d expenditures","All",2046539000
"U. California, San Francisco",2,"computer and information sciences","All",0
"U. California, San Francisco",2,"geosciences atmospheric sciences and ocean sciences","All",0
"U. California, San Francisco",2,"life sciences","All",1978891000
"U. California, San Francisco",2,"mathematics and statistics","All",0
"U. California, San Francisco",2,"physical sciences","All",67648000
"U. California, San Francisco",2,"psychology","All",0
"U. California, San Francisco",2,"social sciences","All",0
"U. California, San Francisco",2,"sciences nec","All",0
"U. California, San Francisco",2,"engineering","All",0
"U. California, San Francisco",2,"all non s e fields","All",0
"U. Pennsylvania",3,"all r d expenditures","All",1953617000
"U. Pennsylvania",3,"computer and information sciences","All",21066000
"U. Pennsylvania",3,"geosciences atmospheric sciences and ocean sciences","All",2293000
"U. Pennsylvania",3,"life sciences","All",1497834000
"U. Pennsylvania",3,"mathematics and statistics","All",8603000
"U. Pennsylvania",3,"physical sciences","All",72101000
"U. Pennsylvania",3,"psychology","All",17413000
"U. Pennsylvania",3,"social sciences","All",66203000
"U. Pennsylvania",3,"sciences nec","All",9310000
"U. Pennsylvania",3,"engineering","All",112740000
"U. Pennsylvania",3,"all non s e fields","All",146054000
"U. Michigan, Ann Arbor",4,"all r d expenditures","All",1925875000
"U. Michigan, Ann Arbor",4,"computer and information sciences","All",17076000
"U. Michigan, Ann Arbor",4,"geosciences atmospheric sciences and ocean sciences","All",19164000
"U. Michigan, Ann Arbor",4,"life sciences","All",1116866000
"U. Michigan, Ann Arbor",4,"mathematics and statistics","All",21033000
"U. Michigan, Ann Arbor",4,"physical sciences","All",70259000
"U. Michigan, Ann Arbor",4,"psychology","All",23483000
"U. Michigan, Ann Arbor",4,"social sciences","All",217488000
"U. Michigan, Ann Arbor",4,"sciences nec","All",5664000
"U. Michigan, Ann Arbor",4,"engineering","All",324306000
"U. Michigan, Ann Arbor",4,"all non s e fields","All",110536000
"U. Washington, Seattle",5,"all r d expenditures","All",1734091000
"U. Washington, Seattle",5,"computer and information sciences","All",30158000
"U. Washington, Seattle",5,"geosciences atmospheric sciences and ocean sciences","All",162612000
"U. Washington, Seattle",5,"life sciences","All",1175596000
"U. Washington, Seattle",5,"mathematics and statistics","All",9783000
"U. Washington, Seattle",5,"physical sciences","All",69424000
"U. Washington, Seattle",5,"psychology","All",11239000
"U. Washington, Seattle",5,"social sciences","All",23577000
"U. Washington, Seattle",5,"sciences nec","All",1135000
"U. Washington, Seattle",5,"engineering","All",180277000
"U. Washington, Seattle",5,"all non s e fields","All",70290000
"U. Wisconsin-Madison",6,"all r d expenditures","All",1731949000
"U. Wisconsin-Madison",6,"computer and information sciences","All",38571000
"U. Wisconsin-Madison",6,"geosciences atmospheric sciences and ocean sciences","All",77933000
"U. Wisconsin-Madison",6,"life sciences","All",1058529000
"U. Wisconsin-Madison",6,"mathematics and statistics","All",8838000
"U. Wisconsin-Madison",6,"physical sciences","All",113636000
"U. Wisconsin-Madison",6,"psychology","All",13198000
"U. Wisconsin-Madison",6,"social sciences","All",75982000
"U. Wisconsin-Madison",6,"sciences nec","All",57926000
"U. Wisconsin-Madison",6,"engineering","All",171445000
"U. Wisconsin-Madison",6,"all non s e fields","All",115891000
"U. California, Los Angeles",7,"all r d expenditures","All",1721665000
"U. California, Los Angeles",7,"computer and information sciences","All",19118000
"U. California, Los Angeles",7,"geosciences atmospheric sciences and ocean sciences","All",52655000
"U. California, Los Angeles",7,"life sciences","All",1222724000
"U. California, Los Angeles",7,"mathematics and statistics","All",11947000
"U. California, Los Angeles",7,"physical sciences","All",61410000
"U. California, Los Angeles",7,"psychology","All",20440000
"U. California, Los Angeles",7,"social sciences","All",86049000
"U. California, Los Angeles",7,"sciences nec","All",58077000
"U. California, Los Angeles",7,"engineering","All",113969000
"U. California, Los Angeles",7,"all non s e fields","All",75276000
"U. California, San Diego",8,"all r d expenditures","All",1705410000
"U. California, San Diego",8,"computer and information sciences","All",37484000
"U. California, San Diego",8,"geosciences atmospheric sciences and ocean sciences","All",245278000
"U. California, San Diego",8,"life sciences","All",1043913000
"U. California, San Diego",8,"mathematics and statistics","All",5471000
"U. California, San Diego",8,"physical sciences","All",105927000
"U. California, San Diego",8,"psychology","All",13623000
"U. California, San Diego",8,"social sciences","All",23568000
"U. California, San Diego",8,"sciences nec","All",0
"U. California, San Diego",8,"engineering","All",176720000
"U. California, San Diego",8,"all non s e fields","All",53426000
"U. North Carolina, Chapel Hill",9,"all r d expenditures","All",1549617000
"U. North Carolina, Chapel Hill",9,"computer and information sciences","All",41385000
"U. North Carolina, Chapel Hill",9,"geosciences atmospheric sciences and ocean sciences","All",34095000
"U. North Carolina, Chapel Hill",9,"life sciences","All",1141727000
"U. North Carolina, Chapel Hill",9,"mathematics and statistics","All",4894000
"U. North Carolina, Chapel Hill",9,"physical sciences","All",51933000
"U. North Carolina, Chapel Hill",9,"psychology","All",56582000
"U. North Carolina, Chapel Hill",9,"social sciences","All",95692000
"U. North Carolina, Chapel Hill",9,"sciences nec","All",139000
"U. North Carolina, Chapel Hill",9,"engineering","All",49721000
"U. North Carolina, Chapel Hill",9,"all non s e fields","All",73449000
"Stanford U.",10,"all r d expenditures","All",1537846000
"Stanford U.",10,"computer and information sciences","All",27907000
"Stanford U.",10,"geosciences atmospheric sciences and ocean sciences","All",35299000
"Stanford U.",10,"life sciences","All",1119445000
"Stanford U.",10,"mathematics and statistics","All",6455000
"Stanford U.",10,"physical sciences","All",103816000
"Stanford U.",10,"psychology","All",14151000
"Stanford U.",10,"social sciences","All",22966000
"Stanford U.",10,"sciences nec","All",224000
"Stanford U.",10,"engineering","All",158868000
"Stanford U.",10,"all non s e fields","All",48715000
"Duke U.",11,"all r d expenditures","All",1507996000
"Duke U.",11,"computer and information sciences","All",12836000
"Duke U.",11,"geosciences atmospheric sciences and ocean sciences","All",9796000
"Duke U.",11,"life sciences","All",1266314000
"Duke U.",11,"mathematics and statistics","All",8374000
"Duke U.",11,"physical sciences","All",29127000
"Duke U.",11,"psychology","All",10189000
"Duke U.",11,"social sciences","All",43163000
"Duke U.",11,"sciences nec","All",501000
"Duke U.",11,"engineering","All",109885000
"Duke U.",11,"all non s e fields","All",17811000
"New York U.",12,"all r d expenditures","All",1457424000
"New York U.",12,"computer and information sciences","All",16701000
"New York U.",12,"geosciences atmospheric sciences and ocean sciences","All",732000
"New York U.",12,"life sciences","All",1065030000
"New York U.",12,"mathematics and statistics","All",19747000
"New York U.",12,"physical sciences","All",30409000
"New York U.",12,"psychology","All",26613000
"New York U.",12,"social sciences","All",41857000
"New York U.",12,"sciences nec","All",0
"New York U.",12,"engineering","All",132311000
"New York U.",12,"all non s e fields","All",124024000
"Cornell U.",13,"all r d expenditures","All",1451971000
"Cornell U.",13,"computer and information sciences","All",32821000
"Cornell U.",13,"geosciences atmospheric sciences and ocean sciences","All",5762000
"Cornell U.",13,"life sciences","All",1020982000
"Cornell U.",13,"mathematics and statistics","All",4173000
"Cornell U.",13,"physical sciences","All",136751000
"Cornell U.",13,"psychology","All",12439000
"Cornell U.",13,"social sciences","All",30044000
"Cornell U.",13,"sciences nec","All",145000
"Cornell U.",13,"engineering","All",149807000
"Cornell U.",13,"all non s e fields","All",59047000
"Ohio State U.",14,"all r d expenditures","All",1449188000
"Ohio State U.",14,"computer and information sciences","All",31323000
"Ohio State U.",14,"geosciences atmospheric sciences and ocean sciences","All",9777000
"Ohio State U.",14,"life sciences","All",977520000
"Ohio State U.",14,"mathematics and statistics","All",5135000
"Ohio State U.",14,"physical sciences","All",39570000
"Ohio State U.",14,"psychology","All",6403000
"Ohio State U.",14,"social sciences","All",24943000
"Ohio State U.",14,"sciences nec","All",40363000
"Ohio State U.",14,"engineering","All",242745000
"Ohio State U.",14,"all non s e fields","All",71409000
"Harvard U.",15,"all r d expenditures","All",1435218000
"Harvard U.",15,"computer and information sciences","All",28969000
"Harvard U.",15,"geosciences atmospheric sciences and ocean sciences","All",30302000
"Harvard U.",15,"life sciences","All",793236000
"Harvard U.",15,"mathematics and statistics","All",19878000
"Harvard U.",15,"physical sciences","All",134733000
"Harvard U.",15,"psychology","All",8218000
"Harvard U.",15,"social sciences","All",169192000
"Harvard U.",15,"sciences nec","All",12681000
"Harvard U.",15,"engineering","All",99830000
"Harvard U.",15,"all non s e fields","All",138179000
"Georgia Institute of Technology",16,"all r d expenditures","All",1405080000
"Georgia Institute of Technology",16,"computer and information sciences","All",198783000
"Georgia Institute of Technology",16,"geosciences atmospheric sciences and ocean sciences","All",13138000
"Georgia Institute of Technology",16,"life sciences","All",42645000
"Georgia Institute of Technology",16,"mathematics and statistics","All",9953000
"Georgia Institute of Technology",16,"physical sciences","All",39186000
"Georgia Institute of Technology",16,"psychology","All",4464000
"Georgia Institute of Technology",16,"social sciences","All",7944000
"Georgia Institute of Technology",16,"sciences nec","All",0
"Georgia Institute of Technology",16,"engineering","All",1061402000
"Georgia Institute of Technology",16,"all non s e fields","All",27565000
"U. Pittsburgh, Pittsburgh",17,"all r d expenditures","All",1398078000
"U. Pittsburgh, Pittsburgh",17,"computer and information sciences","All",12535000
"U. Pittsburgh, Pittsburgh",17,"geosciences atmospheric sciences and ocean sciences","All",13409000
"U. Pittsburgh, Pittsburgh",17,"life sciences","All",1205739000
"U. Pittsburgh, Pittsburgh",17,"mathematics and statistics","All",5160000
"U. Pittsburgh, Pittsburgh",17,"physical sciences","All",33092000
"U. Pittsburgh, Pittsburgh",17,"psychology","All",16409000
"U. Pittsburgh, Pittsburgh",17,"social sciences","All",5653000
"U. Pittsburgh, Pittsburgh",17,"sciences nec","All",13638000
"U. Pittsburgh, Pittsburgh",17,"engineering","All",82238000
"U. Pittsburgh, Pittsburgh",17,"all non s e fields","All",10205000
"U. Marylandb",18,"all r d expenditures","All",1385302000
"U. Marylandb",18,"computer and information sciences","All",80519000
"U. Marylandb",18,"geosciences atmospheric sciences and ocean sciences","All",87557000
"U. Marylandb",18,"life sciences","All",719375000
"U. Marylandb",18,"mathematics and statistics","All",6039000
"U. Marylandb",18,"physical sciences","All",135422000
"U. Marylandb",18,"psychology","All",11142000
"U. Marylandb",18,"social sciences","All",72987000
"U. Marylandb",18,"sciences nec","All",18057000
"U. Marylandb",18,"engineering","All",183899000
"U. Marylandb",18,"all non s e fields","All",70305000
"Columbia U. in the City of New York",19,"all r d expenditures","All",1341952000
"Columbia U. in the City of New York",19,"computer and information sciences","All",30853000
"Columbia U. in the City of New York",19,"geosciences atmospheric sciences and ocean sciences","All",88243000
"Columbia U. in the City of New York",19,"life sciences","All",980046000
"Columbia U. in the City of New York",19,"mathematics and statistics","All",4294000
"Columbia U. in the City of New York",19,"physical sciences","All",52418000
"Columbia U. in the City of New York",19,"psychology","All",4443000
"Columbia U. in the City of New York",19,"social sciences","All",18686000
"Columbia U. in the City of New York",19,"sciences nec","All",0
"Columbia U. in the City of New York",19,"engineering","All",100161000
"Columbia U. in the City of New York",19,"all non s e fields","All",62808000
"Yale U.",20,"all r d expenditures","All",1326807000
"Yale U.",20,"computer and information sciences","All",11131000
"Yale U.",20,"geosciences atmospheric sciences and ocean sciences","All",7593000
"Yale U.",20,"life sciences","All",1154182000
"Yale U.",20,"mathematics and statistics","All",3906000
"Yale U.",20,"physical sciences","All",63036000
"Yale U.",20,"psychology","All",11027000
"Yale U.",20,"social sciences","All",19496000
"Yale U.",20,"sciences nec","All",829000
"Yale U.",20,"engineering","All",40153000
"Yale U.",20,"all non s e fields","All",15454000
"U. Minnesota, Twin Cities",21,"all r d expenditures","All",1320183000
"U. Minnesota, Twin Cities",21,"computer and information sciences","All",24219000
"U. Minnesota, Twin Cities",21,"geosciences atmospheric sciences and ocean sciences","All",16935000
"U. Minnesota, Twin Cities",21,"life sciences","All",948410000
"U. Minnesota, Twin Cities",21,"mathematics and statistics","All",8376000
"U. Minnesota, Twin Cities",21,"physical sciences","All",47610000
"U. Minnesota, Twin Cities",21,"psychology","All",33730000
"U. Minnesota, Twin Cities",21,"social sciences","All",39384000
"U. Minnesota, Twin Cities",21,"sciences nec","All",3864000
"U. Minnesota, Twin Cities",21,"engineering","All",145670000
"U. Minnesota, Twin Cities",21,"all non s e fields","All",51985000
"Texas A&M U., College Station and Health Science Center",22,"all r d expenditures","All",1277814000
"Texas A&M U., College Station and Health Science Center",22,"computer and information sciences","All",28414000
"Texas A&M U., College Station and Health Science Center",22,"geosciences atmospheric sciences and ocean sciences","All",125114000
"Texas A&M U., College Station and Health Science Center",22,"life sciences","All",464675000
"Texas A&M U., College Station and Health Science Center",22,"mathematics and statistics","All",8774000
"Texas A&M U., College Station and Health Science Center",22,"physical sciences","All",65248000
"Texas A&M U., College Station and Health Science Center",22,"psychology","All",10488000
"Texas A&M U., College Station and Health Science Center",22,"social sciences","All",32324000
"Texas A&M U., College Station and Health Science Center",22,"sciences nec","All",13003000
"Texas A&M U., College Station and Health Science Center",22,"engineering","All",464769000
"Texas A&M U., College Station and Health Science Center",22,"all non s e fields","All",65005000
"U. Texas M. D. Anderson Cancer Center",23,"all r d expenditures","All",1255190000
"U. Texas M. D. Anderson Cancer Center",23,"computer and information sciences","All",0
"U. Texas M. D. Anderson Cancer Center",23,"geosciences atmospheric sciences and ocean sciences","All",0
"U. Texas M. D. Anderson Cancer Center",23,"life sciences","All",1166465000
"U. Texas M. D. Anderson Cancer Center",23,"mathematics and statistics","All",23423000
"U. Texas M. D. Anderson Cancer Center",23,"physical sciences","All",23775000
"U. Texas M. D. Anderson Cancer Center",23,"psychology","All",18290000
"U. Texas M. D. Anderson Cancer Center",23,"social sciences","All",23237000
"U. Texas M. D. Anderson Cancer Center",23,"sciences nec","All",0
"U. Texas M. D. Anderson Cancer Center",23,"engineering","All",0
"U. Texas M. D. Anderson Cancer Center",23,"all non s e fields","All",0
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"all r d expenditures","All",1253156000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"computer and information sciences","All",24592000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"geosciences atmospheric sciences and ocean sciences","All",3637000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"life sciences","All",958220000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"mathematics and statistics","All",2323000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"physical sciences","All",30399000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"psychology","All",17439000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"social sciences","All",28357000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"sciences nec","All",0
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"engineering","All",82313000
"Vanderbilt U. and Vanderbilt U. Medical Center",24,"all non s e fields","All",105876000
"U. Florida",25,"all r d expenditures","All",1250201000
"U. Florida",25,"computer and information sciences","All",20449000
"U. Florida",25,"geosciences atmospheric sciences and ocean sciences","All",19578000
"U. Florida",25,"life sciences","All",922704000
"U. Florida",25,"mathematics and statistics","All",2928000
"U. Florida",25,"physical sciences","All",43930000
"U. Florida",25,"psychology","All",15487000
"U. Florida",25,"social sciences","All",17586000
"U. Florida",25,"sciences nec","All",4575000
"U. Florida",25,"engineering","All",150126000
"U. Florida",25,"all non s e fields","All",52838000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"all r d expenditures","All",1206793000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"computer and information sciences","All",108873000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"geosciences atmospheric sciences and ocean sciences","All",33406000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"life sciences","All",346482000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"mathematics and statistics","All",24625000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"physical sciences","All",111514000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"psychology","All",41284000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"social sciences","All",42771000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"sciences nec","All",0
"Pennsylvania State U., University Park and Hershey Medical Center",26,"engineering","All",453476000
"Pennsylvania State U., University Park and Hershey Medical Center",26,"all non s e fields","All",44362000
"Washington U., Saint Louis",27,"all r d expenditures","All",1168861000
"Washington U., Saint Louis",27,"computer and information sciences","All",5859000
"Washington U., Saint Louis",27,"geosciences atmospheric sciences and ocean sciences","All",6986000
"Washington U., Saint Louis",27,"life sciences","All",1043446000
"Washington U., Saint Louis",27,"mathematics and statistics","All",1309000
"Washington U., Saint Louis",27,"physical sciences","All",30262000
"Washington U., Saint Louis",27,"psychology","All",8442000
"Washington U., Saint Louis",27,"social sciences","All",2859000
"Washington U., Saint Louis",27,"sciences nec","All",178000
"Washington U., Saint Louis",27,"engineering","All",33691000
"Washington U., Saint Louis",27,"all non s e fields","All",35829000
"U. Southern California",28,"all r d expenditures","All",1154804000
"U. Southern California",28,"computer and information sciences","All",122842000
"U. Southern California",28,"geosciences atmospheric sciences and ocean sciences","All",20785000
"U. Southern California",28,"life sciences","All",744073000
"U. Southern California",28,"mathematics and statistics","All",2031000
"U. Southern California",28,"physical sciences","All",18195000
"U. Southern California",28,"psychology","All",8053000
"U. Southern California",28,"social sciences","All",81705000
"U. Southern California",28,"sciences nec","All",0
"U. Southern California",28,"engineering","All",82633000
"U. Southern California",28,"all non s e fields","All",74487000
"Northwestern U.",29,"all r d expenditures","All",1114269000
"Northwestern U.",29,"computer and information sciences","All",13831000
"Northwestern U.",29,"geosciences atmospheric sciences and ocean sciences","All",1795000
"Northwestern U.",29,"life sciences","All",816739000
"Northwestern U.",29,"mathematics and statistics","All",2311000
"Northwestern U.",29,"physical sciences","All",97816000
"Northwestern U.",29,"psychology","All",3316000
"Northwestern U.",29,"social sciences","All",23363000
"Northwestern U.",29,"sciences nec","All",22022000
"Northwestern U.",29,"engineering","All",93785000
"Northwestern U.",29,"all non s e fields","All",39291000
"Emory U.",30,"all r d expenditures","All",1094328000
"Emory U.",30,"computer and information sciences","All",5494000
"Emory U.",30,"geosciences atmospheric sciences and ocean sciences","All",3189000
"Emory U.",30,"life sciences","All",998674000
"Emory U.",30,"mathematics and statistics","All",1840000
"Emory U.",30,"physical sciences","All",31085000
"Emory U.",30,"psychology","All",4712000
"Emory U.",30,"social sciences","All",5560000
"Emory U.",30,"sciences nec","All",0
"Emory U.",30,"engineering","All",26414000
"Emory U.",30,"all non s e fields","All",17360000
"U. California, Berkeley",31,"all r d expenditures","All",1076754000
"U. California, Berkeley",31,"computer and information sciences","All",15434000
"U. California, Berkeley",31,"geosciences atmospheric sciences and ocean sciences","All",11609000
"U. California, Berkeley",31,"life sciences","All",290429000
"U. California, Berkeley",31,"mathematics and statistics","All",11060000
"U. California, Berkeley",31,"physical sciences","All",234242000
"U. California, Berkeley",31,"psychology","All",20253000
"U. California, Berkeley",31,"social sciences","All",87836000
"U. California, Berkeley",31,"sciences nec","All",109018000
"U. California, Berkeley",31,"engineering","All",209311000
"U. California, Berkeley",31,"all non s e fields","All",87562000
"U. Texas, Austin",32,"all r d expenditures","All",1035838000
"U. Texas, Austin",32,"computer and information sciences","All",116971000
"U. Texas, Austin",32,"geosciences atmospheric sciences and ocean sciences","All",76120000
"U. Texas, Austin",32,"life sciences","All",188258000
"U. Texas, Austin",32,"mathematics and statistics","All",18889000
"U. Texas, Austin",32,"physical sciences","All",123113000
"U. Texas, Austin",32,"psychology","All",16683000
"U. Texas, Austin",32,"social sciences","All",32781000
"U. Texas, Austin",32,"sciences nec","All",5907000
"U. Texas, Austin",32,"engineering","All",360947000
"U. Texas, Austin",32,"all non s e fields","All",96169000
"Massachusetts Institute of Technology",33,"all r d expenditures","All",1000081000
"Massachusetts Institute of Technology",33,"computer and information sciences","All",119666000
"Massachusetts Institute of Technology",33,"geosciences atmospheric sciences and ocean sciences","All",28790000
"Massachusetts Institute of Technology",33,"life sciences","All",127959000
"Massachusetts Institute of Technology",33,"mathematics and statistics","All",10270000
"Massachusetts Institute of Technology",33,"physical sciences","All",180988000
"Massachusetts Institute of Technology",33,"psychology","All",525000
"Massachusetts Institute of Technology",33,"social sciences","All",55636000
"Massachusetts Institute of Technology",33,"sciences nec","All",21825000
"Massachusetts Institute of Technology",33,"engineering","All",404440000
"Massachusetts Institute of Technology",33,"all non s e fields","All",49982000
"Icahn School of Medicine at Mount Sinai",34,"all r d expenditures","All",972476000
"Icahn School of Medicine at Mount Sinai",34,"computer and information sciences","All",0
"Icahn School of Medicine at Mount Sinai",34,"geosciences atmospheric sciences and ocean sciences","All",0
"Icahn School of Medicine at Mount Sinai",34,"life sciences","All",972476000
"Icahn School of Medicine at Mount Sinai",34,"mathematics and statistics","All",0
"Icahn School of Medicine at Mount Sinai",34,"physical sciences","All",0
"Icahn School of Medicine at Mount Sinai",34,"psychology","All",0
"Icahn School of Medicine at Mount Sinai",34,"social sciences","All",0
"Icahn School of Medicine at Mount Sinai",34,"sciences nec","All",0
"Icahn School of Medicine at Mount Sinai",34,"engineering","All",0
"Icahn School of Medicine at Mount Sinai",34,"all non s e fields","All",0
"U. California, Davis",35,"all r d expenditures","All",962399000
"U. California, Davis",35,"computer and information sciences","All",6959000
"U. California, Davis",35,"geosciences atmospheric sciences and ocean sciences","All",38078000
"U. California, Davis",35,"life sciences","All",682290000
"U. California, Davis",35,"mathematics and statistics","All",4722000
"U. California, Davis",35,"physical sciences","All",36471000
"U. California, Davis",35,"psychology","All",4171000
"U. California, Davis",35,"social sciences","All",38849000
"U. California, Davis",35,"sciences nec","All",10491000
"U. California, Davis",35,"engineering","All",124470000
"U. California, Davis",35,"all non s e fields","All",15898000
"U. Arizona",36,"all r d expenditures","All",955424000
"U. Arizona",36,"computer and information sciences","All",18319000
"U. Arizona",36,"geosciences atmospheric sciences and ocean sciences","All",44173000
"U. Arizona",36,"life sciences","All",522916000
"U. Arizona",36,"mathematics and statistics","All",7530000
"U. Arizona",36,"physical sciences","All",173256000
"U. Arizona",36,"psychology","All",10219000
"U. Arizona",36,"social sciences","All",27542000
"U. Arizona",36,"sciences nec","All",13247000
"U. Arizona",36,"engineering","All",103771000
"U. Arizona",36,"all non s e fields","All",34451000
"Arizona State U.",37,"all r d expenditures","All",903779000
"Arizona State U.",37,"computer and information sciences","All",33267000
"Arizona State U.",37,"geosciences atmospheric sciences and ocean sciences","All",59803000
"Arizona State U.",37,"life sciences","All",179408000
"Arizona State U.",37,"mathematics and statistics","All",2786000
"Arizona State U.",37,"physical sciences","All",59230000
"Arizona State U.",37,"psychology","All",17382000
"Arizona State U.",37,"social sciences","All",93071000
"Arizona State U.",37,"sciences nec","All",30565000
"Arizona State U.",37,"engineering","All",265026000
"Arizona State U.",37,"all non s e fields","All",163241000
"Indiana U., Bloomington",38,"all r d expenditures","All",853056000
"Indiana U., Bloomington",38,"computer and information sciences","All",47950000
"Indiana U., Bloomington",38,"geosciences atmospheric sciences and ocean sciences","All",6894000
"Indiana U., Bloomington",38,"life sciences","All",623240000
"Indiana U., Bloomington",38,"mathematics and statistics","All",3010000
"Indiana U., Bloomington",38,"physical sciences","All",30417000
"Indiana U., Bloomington",38,"psychology","All",16940000
"Indiana U., Bloomington",38,"social sciences","All",44795000
"Indiana U., Bloomington",38,"sciences nec","All",12069000
"Indiana U., Bloomington",38,"engineering","All",25104000
"Indiana U., Bloomington",38,"all non s e fields","All",42637000
"Baylor C. of Medicine",39,"all r d expenditures","All",847305000
"Baylor C. of Medicine",39,"computer and information sciences","All",0
"Baylor C. of Medicine",39,"geosciences atmospheric sciences and ocean sciences","All",0
"Baylor C. of Medicine",39,"life sciences","All",847305000
"Baylor C. of Medicine",39,"mathematics and statistics","All",0
"Baylor C. of Medicine",39,"physical sciences","All",0
"Baylor C. of Medicine",39,"psychology","All",0
"Baylor C. of Medicine",39,"social sciences","All",0
"Baylor C. of Medicine",39,"sciences nec","All",0
"Baylor C. of Medicine",39,"engineering","All",0
"Baylor C. of Medicine",39,"all non s e fields","All",0
"Purdue U., West Lafayette",40,"all r d expenditures","All",844570000
"Purdue U., West Lafayette",40,"computer and information sciences","All",31316000
"Purdue U., West Lafayette",40,"geosciences atmospheric sciences and ocean sciences","All",9201000
"Purdue U., West Lafayette",40,"life sciences","All",282174000
"Purdue U., West Lafayette",40,"mathematics and statistics","All",3115000
"Purdue U., West Lafayette",40,"physical sciences","All",60623000
"Purdue U., West Lafayette",40,"psychology","All",5839000
"Purdue U., West Lafayette",40,"social sciences","All",17096000
"Purdue U., West Lafayette",40,"sciences nec","All",2636000
"Purdue U., West Lafayette",40,"engineering","All",360289000
"Purdue U., West Lafayette",40,"all non s e fields","All",72281000
"Michigan State U.",41,"all r d expenditures","All",844076000
"Michigan State U.",41,"computer and information sciences","All",18855000
"Michigan State U.",41,"geosciences atmospheric sciences and ocean sciences","All",7557000
"Michigan State U.",41,"life sciences","All",377253000
"Michigan State U.",41,"mathematics and statistics","All",13271000
"Michigan State U.",41,"physical sciences","All",207802000
"Michigan State U.",41,"psychology","All",14085000
"Michigan State U.",41,"social sciences","All",46373000
"Michigan State U.",41,"sciences nec","All",16262000
"Michigan State U.",41,"engineering","All",86949000
"Michigan State U.",41,"all non s e fields","All",55669000
"Rutgers, State U. New Jersey, New Brunswick",42,"all r d expenditures","All",831719000
"Rutgers, State U. New Jersey, New Brunswick",42,"computer and information sciences","All",8406000
"Rutgers, State U. New Jersey, New Brunswick",42,"geosciences atmospheric sciences and ocean sciences","All",35546000
"Rutgers, State U. New Jersey, New Brunswick",42,"life sciences","All",619096000
"Rutgers, State U. New Jersey, New Brunswick",42,"mathematics and statistics","All",11898000
"Rutgers, State U. New Jersey, New Brunswick",42,"physical sciences","All",28283000
"Rutgers, State U. New Jersey, New Brunswick",42,"psychology","All",15490000
"Rutgers, State U. New Jersey, New Brunswick",42,"social sciences","All",10539000
"Rutgers, State U. New Jersey, New Brunswick",42,"sciences nec","All",2248000
"Rutgers, State U. New Jersey, New Brunswick",42,"engineering","All",61910000
"Rutgers, State U. New Jersey, New Brunswick",42,"all non s e fields","All",38303000
"U. Illinois, Urbana-Champaign",43,"all r d expenditures","All",821023000
"U. Illinois, Urbana-Champaign",43,"computer and information sciences","All",99934000
"U. Illinois, Urbana-Champaign",43,"geosciences atmospheric sciences and ocean sciences","All",23906000
"U. Illinois, Urbana-Champaign",43,"life sciences","All",245437000
"U. Illinois, Urbana-Champaign",43,"mathematics and statistics","All",5040000
"U. Illinois, Urbana-Champaign",43,"physical sciences","All",84748000
"U. Illinois, Urbana-Champaign",43,"psychology","All",15234000
"U. Illinois, Urbana-Champaign",43,"social sciences","All",9883000
"U. Illinois, Urbana-Champaign",43,"sciences nec","All",17353000
